model,mode,class,mean_cosine_to_class_centroid,std_cosine_to_class_centroid,mean_vector_norm,std_vector_norm
roberta-base,final,past_to_future,0.8058131858706474,0.08468023265623571,1.438374638557434,0.11614976078271866
roberta-base,final,certainty_to_uncertainty,0.8748098239302635,0.06167695195783621,1.5539766550064087,0.27381446957588196
roberta-base,final,active_to_passive,0.8520246520638466,0.04824481080017948,1.3814787864685059,0.11931455135345459
roberta-base,final,formalization,0.8919490426778793,0.05164922631067459,1.1271616220474243,0.10952731221914291
roberta-base,all_layers_flat,negation,0.8370072841644287,0.0328443964503679,10.158608436584473,0.7686808705329895
roberta-base,all_layers_flat,question,0.8946033492684364,0.021035365394439443,11.65246868133545,0.868994414806366
roberta-base,all_layers_flat,past_to_future,0.8002585768699646,0.0585791220632309,8.352169036865234,0.44581690430641174
roberta-base,all_layers_flat,certainty_to_uncertainty,0.9048966839909554,0.0409796034105326,9.756917953491211,1.076749563217163
roberta-base,all_layers_flat,active_to_passive,0.8337870016694069,0.03108456034083398,8.990174293518066,0.43796980381011963
roberta-base,all_layers_flat,formalization,0.8219565972685814,0.0671426816664345,5.859421730041504,0.6896317601203918
roberta-base,transition_dynamics_flat,negation,0.7248844429850578,0.04026702098600955,5.598908424377441,0.44930756092071533
roberta-base,transition_dynamics_flat,question,0.839372381567955,0.03254589878777681,6.940710067749023,0.5592874884605408
roberta-base,transition_dynamics_flat,past_to_future,0.6907968521118164,0.06785163398563061,4.779303550720215,0.3138910233974457
roberta-base,transition_dynamics_flat,certainty_to_uncertainty,0.8325415253639221,0.056528282030306125,5.421457290649414,0.6472335457801819
roberta-base,transition_dynamics_flat,active_to_passive,0.7190855070948601,0.04869565917466712,5.264307022094727,0.30333080887794495
roberta-base,transition_dynamics_flat,formalization,0.7368658632040024,0.0692444750453452,3.5116782188415527,0.423660010099411
distilroberta-base,final,negation,0.8935177326202393,0.028985129827965216,1.3623427152633667,0.1350039392709732
distilroberta-base,final,question,0.9394001737236977,0.013640713997022326,1.6480145454406738,0.11587287485599518
distilroberta-base,final,past_to_future,0.8821066617965698,0.0456174460251465,1.169006109237671,0.09493523091077805
distilroberta-base,final,certainty_to_uncertainty,0.9552367702126503,0.01730487254240206,1.3060033321380615,0.035309579223394394
distilroberta-base,final,active_to_passive,0.9041851535439491,0.024672591006053637,1.266892910003662,0.09338454902172089
distilroberta-base,final,formalization,0.9213011711835861,0.04415661097937378,1.0638160705566406,0.19813324511051178
distilroberta-base,all_layers_flat,negation,0.8914825916290283,0.018013267013962168,5.958512306213379,0.3029164671897888
distilroberta-base,all_layers_flat,question,0.9334333837032318,0.013890862296231696,6.837573051452637,0.2928386926651001
distilroberta-base,all_layers_flat,past_to_future,0.8663425147533417,0.029434523245180016,4.558785915374756,0.1830786168575287
distilroberta-base,all_layers_flat,certainty_to_uncertainty,0.9629367366433144,0.011507110290780897,5.694474220275879,0.11403939127922058
distilroberta-base,all_layers_flat,active_to_passive,0.8675816208124161,0.016593528898780678,5.441884994506836,0.24932199716567993
