classifier,accuracy,model,layer,pooling,representation,n_base,n_train,n_test
logreg,0.9591666666666666,bert-base-uncased,9,last_token,y_only,200,2400,4800
linear_svc,0.9629166666666666,bert-base-uncased,9,last_token,y_only,200,2400,4800
logreg,0.9997916666666666,bert-base-uncased,10,mean,delta,200,2400,4800
linear_svc,1.0,bert-base-uncased,10,mean,delta,200,2400,4800
logreg,0.9985416666666667,bert-base-uncased,10,mean,y_only,200,2400,4800
linear_svc,1.0,bert-base-uncased,10,mean,y_only,200,2400,4800
logreg,0.7908333333333334,bert-base-uncased,10,cls,delta,200,2400,4800
linear_svc,0.889375,bert-base-uncased,10,cls,delta,200,2400,4800
logreg,0.804375,bert-base-uncased,10,cls,y_only,200,2400,4800
linear_svc,0.8372916666666667,bert-base-uncased,10,cls,y_only,200,2400,4800
logreg,0.9089583333333333,bert-base-uncased,10,last_token,delta,200,2400,4800
linear_svc,0.9864583333333333,bert-base-uncased,10,last_token,delta,200,2400,4800
logreg,0.806875,bert-base-uncased,10,last_token,y_only,200,2400,4800
linear_svc,0.911875,bert-base-uncased,10,last_token,y_only,200,2400,4800
logreg,0.9970833333333333,bert-base-uncased,11,mean,delta,200,2400,4800
linear_svc,1.0,bert-base-uncased,11,mean,delta,200,2400,4800
logreg,0.9922916666666667,bert-base-uncased,11,mean,y_only,200,2400,4800
linear_svc,1.0,bert-base-uncased,11,mean,y_only,200,2400,4800
logreg,0.7395833333333334,bert-base-uncased,11,cls,delta,200,2400,4800
linear_svc,0.8285416666666666,bert-base-uncased,11,cls,delta,200,2400,4800
logreg,0.8158333333333333,bert-base-uncased,11,cls,y_only,200,2400,4800
linear_svc,0.8422916666666667,bert-base-uncased,11,cls,y_only,200,2400,4800
logreg,0.825625,bert-base-uncased,11,last_token,delta,200,2400,4800
linear_svc,0.9189583333333333,bert-base-uncased,11,last_token,delta,200,2400,4800
logreg,0.7945833333333333,bert-base-uncased,11,last_token,y_only,200,2400,4800
linear_svc,0.9272916666666666,bert-base-uncased,11,last_token,y_only,200,2400,4800
logreg,0.9889583333333334,bert-base-uncased,12,mean,delta,200,2400,4800
linear_svc,1.0,bert-base-uncased,12,mean,delta,200,2400,4800
logreg,0.9858333333333333,bert-base-uncased,12,mean,y_only,200,2400,4800
linear_svc,1.0,bert-base-uncased,12,mean,y_only,200,2400,4800
logreg,0.8033333333333333,bert-base-uncased,12,cls,delta,200,2400,4800
linear_svc,0.905625,bert-base-uncased,12,cls,delta,200,2400,4800
logreg,0.8375,bert-base-uncased,12,cls,y_only,200,2400,4800
linear_svc,0.9195833333333333,bert-base-uncased,12,cls,y_only,200,2400,4800
logreg,0.8535416666666666,bert-base-uncased,12,last_token,delta,200,2400,4800
linear_svc,0.97,bert-base-uncased,12,last_token,delta,200,2400,4800
logreg,0.8541666666666666,bert-base-uncased,12,last_token,y_only,200,2400,4800
linear_svc,0.9260416666666667,bert-base-uncased,12,last_token,y_only,200,2400,4800
