model,heldout_language,method,pair,basis_rank,matrix_commutator_norm,closure_residual_ratio,random_subspace_null_mean,random_subspace_null_std,empirical_p_below_random_subspace,coef_N,coef_Q,coef_M,coef_T
distilbert-base-multilingual-cased,es,affine,NM_minus_MN,4,1.6418336243555467,0.9993751976900973,0.9998758217566696,9.002720161866544e-05,0.001998001998001998,-0.005429021663158266,-0.014353223570083048,0.013570698894223333,0.00579707208827344
distilbert-base-multilingual-cased,es,affine,NT_minus_TN,4,1.540134074376258,0.9974045871777244,0.9998795087229339,8.512839722571063e-05,0.000999000999000999,-0.03439730677676657,0.0076637528213719525,-0.010794361226042552,0.037734493598832464
distilbert-base-multilingual-cased,es,affine,QM_minus_MQ,4,1.766110073521586,0.975433155118384,0.9998763882651808,8.392512074555627e-05,0.000999000999000999,0.060575302376937035,-0.1434416812853227,0.05663744997823038,0.031644827325599555
distilbert-base-multilingual-cased,es,affine,QT_minus_TQ,4,1.6147007072219501,0.9714352186017902,0.9998818798451218,8.086484097379901e-05,0.000999000999000999,0.04985335267137695,-0.13986447282136968,-0.003770068980269264,0.10154963720607027
distilbert-base-multilingual-cased,es,affine,MT_minus_TM,4,1.677062169722595,0.9978383222666405,0.9998766019203396,9.034461114631236e-05,0.000999000999000999,-0.010294721087357791,0.02370476501628209,-0.026790103554254256,0.013461583573608224
distilbert-base-multilingual-cased,fr,linear,NQ_minus_QN,4,1.7906934336679265,0.9812883840048952,0.9998793178891756,8.795636661665298e-05,0.000999000999000999,-0.06493052846564093,0.11086501834401027,-0.006615568260646744,-0.0458804488140248
distilbert-base-multilingual-cased,fr,linear,NM_minus_MN,4,1.7415565968361415,0.9993461355598193,0.9998759292525534,9.045210077640536e-05,0.001998001998001998,-0.005714566090733408,-0.012973560275345613,0.014983355607059186,0.004259782540765082
distilbert-base-multilingual-cased,fr,linear,NT_minus_TN,4,1.6026451340410282,0.9957308693016456,0.999883377122804,8.414066376046532e-05,0.000999000999000999,-0.04972383278860804,0.0036844886263759126,-0.007737503063535903,0.0516211001920954
distilbert-base-multilingual-cased,fr,linear,QM_minus_MQ,4,1.8901345628941406,0.9768084536681234,0.9998777454571947,8.859016916087846e-05,0.000999000999000999,0.04280241499892806,-0.12833917831975877,0.05097195197046814,0.03996999582349281
distilbert-base-multilingual-cased,fr,linear,QT_minus_TQ,4,1.8372494755363022,0.9792034115883147,0.9998817320550661,8.495350350192608e-05,0.000999000999000999,0.05549931405200162,-0.11949216519403924,0.001472431546623157,0.06821185688904022
distilbert-base-multilingual-cased,fr,linear,MT_minus_TM,4,1.7733487450719727,0.9977578797437504,0.999873594482292,8.775699132603744e-05,0.000999000999000999,-0.014064434561244808,0.021522170803772,-0.027126463716754624,0.017360565211410696
distilbert-base-multilingual-cased,fr,affine,NQ_minus_QN,4,1.6677385182782833,0.9735493845241963,0.9998753457444354,8.534088524413198e-05,0.000999000999000999,-0.08847046924449176,0.14480499293683702,-0.009388400405148224,-0.053679412667204045
