source_model,target_model,alignment_size,repeat,acc,f1
roberta-base,bert-base-uncased,8,6,0.45,0.3646652864044168
roberta-base,bert-base-uncased,8,7,0.325,0.25255920550038197
roberta-base,bert-base-uncased,8,8,0.275,0.19083139083139083
roberta-base,bert-base-uncased,8,9,0.35,0.29074074074074074
roberta-base,bert-base-uncased,8,10,0.325,0.21912225705329152
roberta-base,bert-base-uncased,8,11,0.325,0.2561808561808562
roberta-base,bert-base-uncased,8,12,0.3,0.17180500658761527
roberta-base,bert-base-uncased,8,13,0.4,0.360910815939279
roberta-base,bert-base-uncased,8,14,0.2,0.11428571428571428
roberta-base,bert-base-uncased,8,15,0.275,0.1619047619047619
roberta-base,bert-base-uncased,8,16,0.525,0.48069153069153076
roberta-base,bert-base-uncased,8,17,0.35,0.3014386019659853
roberta-base,bert-base-uncased,8,18,0.5,0.4428292954608744
roberta-base,bert-base-uncased,8,19,0.375,0.3193148880105402
roberta-base,bert-base-uncased,8,20,0.35,0.29442340342170564
roberta-base,bert-base-uncased,8,21,0.35,0.3094573925158633
roberta-base,bert-base-uncased,8,22,0.45,0.3719298245614035
roberta-base,bert-base-uncased,8,23,0.325,0.2492929292929293
roberta-base,bert-base-uncased,8,24,0.45,0.3478518518518518
roberta-base,bert-base-uncased,8,25,0.45,0.356
roberta-base,bert-base-uncased,8,26,0.275,0.19142901667445847
roberta-base,bert-base-uncased,8,27,0.35,0.254974358974359
roberta-base,bert-base-uncased,8,28,0.3,0.21666666666666665
roberta-base,bert-base-uncased,8,29,0.45,0.43272727272727274
roberta-base,bert-base-uncased,10,0,0.425,0.3515918195235083
roberta-base,bert-base-uncased,10,1,0.625,0.5773302822273074
roberta-base,bert-base-uncased,10,2,0.575,0.5385396825396825
roberta-base,bert-base-uncased,10,3,0.55,0.48484848484848475
roberta-base,bert-base-uncased,10,4,0.5,0.4424242424242424
roberta-base,bert-base-uncased,10,5,0.55,0.49849624060150377
roberta-base,bert-base-uncased,10,6,0.375,0.2827586206896552
roberta-base,bert-base-uncased,10,7,0.425,0.3481481481481482
roberta-base,bert-base-uncased,10,8,0.55,0.4800507099391481
roberta-base,bert-base-uncased,10,9,0.25,0.21046431046431047
roberta-base,bert-base-uncased,10,10,0.575,0.5224444444444445
roberta-base,bert-base-uncased,10,11,0.55,0.4856166056166056
roberta-base,bert-base-uncased,10,12,0.45,0.424963924963925
roberta-base,bert-base-uncased,10,13,0.45,0.40698412698412706
roberta-base,bert-base-uncased,10,14,0.35,0.26536796536796536
roberta-base,bert-base-uncased,10,15,0.425,0.3238866396761133
roberta-base,bert-base-uncased,10,16,0.475,0.43829059829059824
roberta-base,bert-base-uncased,10,17,0.4,0.29167914438502673
roberta-base,bert-base-uncased,10,18,0.5,0.45939393939393935
roberta-base,bert-base-uncased,10,19,0.325,0.25032258064516133
roberta-base,bert-base-uncased,10,20,0.425,0.32518286311389755
roberta-base,bert-base-uncased,10,21,0.45,0.38995475113122174
roberta-base,bert-base-uncased,10,22,0.325,0.23982683982683986
roberta-base,bert-base-uncased,10,23,0.35,0.23411764705882349
roberta-base,bert-base-uncased,10,24,0.275,0.20517470145953118
roberta-base,bert-base-uncased,10,25,0.525,0.5189342339806735
roberta-base,bert-base-uncased,10,26,0.45,0.408517536103743
roberta-base,bert-base-uncased,10,27,0.4,0.3455606758832565
roberta-base,bert-base-uncased,10,28,0.4,0.3566233766233766
roberta-base,bert-base-uncased,10,29,0.5,0.39384615384615385
roberta-base,bert-base-uncased,15,0,0.5,0.4148148148148148
roberta-base,bert-base-uncased,15,1,0.375,0.2540914158305463
roberta-base,bert-base-uncased,15,2,0.35,0.25546536796536795
roberta-base,bert-base-uncased,15,3,0.55,0.47272727272727266
roberta-base,bert-base-uncased,15,4,0.325,0.19045092838196287
roberta-base,bert-base-uncased,15,5,0.625,0.5845962732919254
roberta-base,bert-base-uncased,15,6,0.575,0.46953216374269
roberta-base,bert-base-uncased,15,7,0.375,0.2879375696767001
roberta-base,bert-base-uncased,15,8,0.6,0.5782272498743086
roberta-base,bert-base-uncased,15,9,0.425,0.3472885111329047
roberta-base,bert-base-uncased,15,10,0.575,0.5277690700104494
roberta-base,bert-base-uncased,15,11,0.45,0.4141714915908465
roberta-base,bert-base-uncased,15,12,0.275,0.2476097002412792
roberta-base,bert-base-uncased,15,13,0.625,0.5869218500797448
roberta-base,bert-base-uncased,15,14,0.5,0.3818597878094446
roberta-base,bert-base-uncased,15,15,0.375,0.2518518518518518
roberta-base,bert-base-uncased,15,16,0.5,0.448149511307406
roberta-base,bert-base-uncased,15,17,0.575,0.5024242424242424
roberta-base,bert-base-uncased,15,18,0.4,0.29376581550494596
roberta-base,bert-base-uncased,15,19,0.5,0.40860781730346946
roberta-base,bert-base-uncased,15,20,0.5,0.42226662226662226
roberta-base,bert-base-uncased,15,21,0.625,0.5968870895186684
roberta-base,bert-base-uncased,15,22,0.55,0.5256390977443609
roberta-base,bert-base-uncased,15,23,0.525,0.47435701553348614
roberta-base,bert-base-uncased,15,24,0.45,0.35211744776962167
roberta-base,bert-base-uncased,15,25,0.4,0.34246642246642245
roberta-base,bert-base-uncased,15,26,0.45,0.34028985507246373
roberta-base,bert-base-uncased,15,27,0.55,0.5610346642604707
roberta-base,bert-base-uncased,15,28,0.425,0.3023488255872064
roberta-base,bert-base-uncased,15,29,0.55,0.5218070818070818
roberta-base,bert-base-uncased,20,0,0.55,0.5148989898989899
roberta-base,bert-base-uncased,20,1,0.625,0.6007148407148407
roberta-base,bert-base-uncased,20,2,0.625,0.5687032967032967
roberta-base,bert-base-uncased,20,3,0.65,0.6109221772379667
roberta-base,bert-base-uncased,20,4,0.725,0.6974966828836798
roberta-base,bert-base-uncased,20,5,0.675,0.6076190476190476
roberta-base,bert-base-uncased,20,6,0.475,0.429817911557042
roberta-base,bert-base-uncased,20,7,0.6,0.5237768994290734
roberta-base,bert-base-uncased,20,8,0.575,0.49270588235294116
roberta-base,bert-base-uncased,20,9,0.675,0.6696037296037296
roberta-base,bert-base-uncased,20,10,0.575,0.46953216374269
roberta-base,bert-base-uncased,20,11,0.7,0.701032301032301
roberta-base,bert-base-uncased,20,12,0.65,0.5818654775176514
roberta-base,bert-base-uncased,20,13,0.5,0.4299808429118774
roberta-base,bert-base-uncased,20,14,0.65,0.6327269260106788
roberta-base,bert-base-uncased,20,15,0.6,0.5543609469306064
roberta-base,bert-base-uncased,20,16,0.6,0.5732193732193732
roberta-base,bert-base-uncased,20,17,0.6,0.5380329611908559
roberta-base,bert-base-uncased,20,18,0.4,0.3140344357735662
roberta-base,bert-base-uncased,20,19,0.55,0.4709788421297373
roberta-base,bert-base-uncased,20,20,0.575,0.5014718614718615
roberta-base,bert-base-uncased,20,21,0.625,0.566111111111111
roberta-base,bert-base-uncased,20,22,0.65,0.6165747702589808
roberta-base,bert-base-uncased,20,23,0.575,0.5477777777777778
roberta-base,bert-base-uncased,20,24,0.65,0.5938461538461539
roberta-base,bert-base-uncased,20,25,0.7,0.658796992481203
roberta-base,bert-base-uncased,20,26,0.625,0.5880451574569221
roberta-base,bert-base-uncased,20,27,0.5,0.37402597402597404
roberta-base,bert-base-uncased,20,28,0.55,0.4914285714285714
roberta-base,bert-base-uncased,20,29,0.625,0.6077777777777778
roberta-base,bert-base-uncased,48,0,0.7,0.6680701754385965
roberta-base,bert-base-uncased,48,1,0.7,0.6680701754385965
roberta-base,bert-base-uncased,48,2,0.7,0.6680701754385965
roberta-base,bert-base-uncased,48,3,0.7,0.6680701754385965
roberta-base,bert-base-uncased,48,4,0.7,0.6680701754385965
roberta-base,bert-base-uncased,48,5,0.7,0.6680701754385965
roberta-base,bert-base-uncased,48,6,0.7,0.6680701754385965
roberta-base,bert-base-uncased,48,7,0.7,0.6680701754385965
roberta-base,bert-base-uncased,48,8,0.7,0.6680701754385965
roberta-base,bert-base-uncased,48,9,0.7,0.6680701754385965
roberta-base,bert-base-uncased,48,10,0.7,0.6680701754385965
roberta-base,bert-base-uncased,48,11,0.7,0.6680701754385965
roberta-base,bert-base-uncased,48,12,0.7,0.6680701754385965
roberta-base,bert-base-uncased,48,13,0.7,0.6680701754385965
roberta-base,bert-base-uncased,48,14,0.7,0.6680701754385965
roberta-base,bert-base-uncased,48,15,0.7,0.6680701754385965
roberta-base,bert-base-uncased,48,16,0.7,0.6680701754385965
roberta-base,bert-base-uncased,48,17,0.7,0.6680701754385965
roberta-base,bert-base-uncased,48,18,0.7,0.6680701754385965
roberta-base,bert-base-uncased,48,19,0.7,0.6680701754385965
roberta-base,bert-base-uncased,48,20,0.7,0.6680701754385965
roberta-base,bert-base-uncased,48,21,0.7,0.6680701754385965
roberta-base,bert-base-uncased,48,22,0.7,0.6680701754385965
roberta-base,bert-base-uncased,48,23,0.7,0.6680701754385965
roberta-base,bert-base-uncased,48,24,0.7,0.6680701754385965
roberta-base,bert-base-uncased,48,25,0.7,0.6680701754385965
roberta-base,bert-base-uncased,48,26,0.7,0.6680701754385965
roberta-base,bert-base-uncased,48,27,0.7,0.6680701754385965
roberta-base,bert-base-uncased,48,28,0.7,0.6680701754385965
roberta-base,bert-base-uncased,48,29,0.7,0.6680701754385965
