model,train_size,repeat,acc,f1,baseline
distilroberta-base,15,5,0.4,0.30636394908840725,0.2
distilroberta-base,15,6,0.475,0.41231671554252197,0.2
distilroberta-base,15,7,0.55,0.4622222222222222,0.2
distilroberta-base,15,8,0.5,0.37985185185185183,0.2
distilroberta-base,15,9,0.3,0.20606060606060606,0.2
distilroberta-base,15,10,0.625,0.5169082125603864,0.2
distilroberta-base,15,11,0.525,0.46241758241758235,0.2
distilroberta-base,15,12,0.425,0.28357487922705316,0.2
distilroberta-base,15,13,0.3,0.20271493212669683,0.2
distilroberta-base,15,14,0.475,0.35137662337662334,0.2
distilroberta-base,15,15,0.425,0.3494017094017094,0.2
distilroberta-base,15,16,0.5,0.384880174291939,0.2
distilroberta-base,15,17,0.425,0.3264957264957265,0.2
distilroberta-base,15,18,0.2,0.06666666666666667,0.2
distilroberta-base,15,19,0.475,0.35276907001044927,0.2
distilroberta-base,15,20,0.4,0.27999999999999997,0.2
distilroberta-base,15,21,0.525,0.4813037942449707,0.2
distilroberta-base,15,24,0.275,0.1802020202020202,0.2
distilroberta-base,15,25,0.25,0.15845410628019324,0.2
distilroberta-base,15,26,0.5,0.3768244139761167,0.2
distilroberta-base,15,27,0.325,0.1953216374269006,0.2
distilroberta-base,15,28,0.725,0.6844444444444444,0.2
distilroberta-base,15,29,0.2,0.06666666666666667,0.2
distilroberta-base,20,0,0.375,0.32047302291204727,0.2
distilroberta-base,20,1,0.35,0.30972582972582974,0.2
distilroberta-base,20,3,0.5,0.37393483709273184,0.2
distilroberta-base,20,4,0.55,0.46974358974358976,0.2
distilroberta-base,20,5,0.6,0.5638095238095238,0.2
distilroberta-base,20,6,0.45,0.35878787878787877,0.2
distilroberta-base,20,7,0.525,0.44486772486772486,0.2
distilroberta-base,20,8,0.325,0.2902415458937198,0.2
distilroberta-base,20,9,0.55,0.4984126984126984,0.2
distilroberta-base,20,10,0.6,0.4541353383458646,0.2
distilroberta-base,20,11,0.5,0.42666666666666664,0.2
distilroberta-base,20,12,0.325,0.2681318681318682,0.2
distilroberta-base,20,13,0.625,0.633846153846154,0.2
distilroberta-base,20,14,0.3,0.18471544715447155,0.2
distilroberta-base,20,15,0.4,0.24380952380952378,0.2
distilroberta-base,20,16,0.45,0.3656898395721925,0.2
distilroberta-base,20,17,0.45,0.339047619047619,0.2
distilroberta-base,20,18,0.525,0.49575757575757573,0.2
distilroberta-base,20,19,0.4,0.3965591397849463,0.2
distilroberta-base,20,20,0.525,0.39436853002070393,0.2
