model,ridge_alpha,heldout_language,method,pair,basis_rank,matrix_commutator_norm,closure_residual_ratio,givens_spectral_matched_null_mean,givens_spectral_matched_null_std,empirical_p_below_givens_spectral_matched_null,coef_N,coef_Q,coef_M,coef_T
bert-base-multilingual-cased,100.0,en,affine,QT_minus_TQ,4,1.278217685519799,0.8748690301526505,0.9995828465043934,0.00029715280596317615,0.0033222591362126247,0.02771914675924943,-0.26621059186988777,0.008554592925098746,0.2417068678942108
bert-base-multilingual-cased,100.0,en,affine,MT_minus_TM,4,0.7392506168919518,0.9907566441640154,0.9995700462015611,0.00029028891667400193,0.0033222591362126247,-0.039797690060350485,0.006488996289863165,-0.03357959951197095,0.06562295567816476
bert-base-multilingual-cased,100.0,es,linear,NQ_minus_QN,4,1.49731516965399,0.9204719383525074,0.9994928213587542,0.00041162631589110977,0.0033222591362126247,-0.1435850890238299,0.20415526261160633,-0.019772150795540858,-0.052420817761908524
bert-base-multilingual-cased,100.0,es,linear,NM_minus_MN,4,0.8214685048302783,0.9660904214688191,0.9995557090372009,0.0003105155889417464,0.0033222591362126247,-0.1395011539169751,0.0072141912282180365,0.08252978739690502,0.05457931623018823
bert-base-multilingual-cased,100.0,es,linear,NT_minus_TN,4,0.8148984624236653,0.9239787394806352,0.9995453168487473,0.0003158476044158194,0.0033222591362126247,-0.18909958012097572,0.0015190012925396235,0.010279724718442698,0.17647077964482327
bert-base-multilingual-cased,100.0,es,linear,QM_minus_MQ,4,1.397594630863835,0.9067600700231461,0.9994932489332321,0.0003553586177310726,0.0033222591362126247,0.052851145164547614,-0.21132992512130755,0.09510485416197509,0.07928701922776518
bert-base-multilingual-cased,100.0,es,linear,QT_minus_TQ,4,1.3809417742513572,0.9356326885163397,0.9995185542544425,0.00038138080960862245,0.0033222591362126247,0.07283661618626285,-0.17621225407952368,0.024125580600606072,0.08963595246993811
bert-base-multilingual-cased,100.0,es,linear,MT_minus_TM,4,0.8157340812713387,0.972822354184771,0.9995553881848381,0.0003119162757455001,0.0033222591362126247,-0.05288938148966209,0.003563609775168529,-0.06851650495397507,0.1125214796520753
bert-base-multilingual-cased,100.0,es,affine,NQ_minus_QN,4,1.431850995417687,0.8455405826712548,0.999604301305302,0.00028747414307995274,0.0033222591362126247,-0.24156700781949492,0.30736975440096026,-0.0064276224791366,-0.07330866395039788
bert-base-multilingual-cased,100.0,es,affine,NM_minus_MN,4,0.8007987972261783,0.9732323056343201,0.9995521272163185,0.00029140878614538794,0.0033222591362126247,-0.12614759654124125,-0.0005468583385779963,0.07738684241423024,0.054194694338824706
bert-base-multilingual-cased,100.0,es,affine,NT_minus_TN,4,0.7572492334140145,0.9437679166053996,0.9995678916654979,0.00030590814738878436,0.0033222591362126247,-0.1662429520517107,0.0034357980610209837,0.015454488511697364,0.14640426609701596
bert-base-multilingual-cased,100.0,es,affine,QM_minus_MQ,4,1.368333674796648,0.8580480220040825,0.9995511128724983,0.00031682336332798574,0.0033222591362126247,0.06298824261294779,-0.2960400165573231,0.13273902815117003,0.1184402258540242
bert-base-multilingual-cased,100.0,es,affine,QT_minus_TQ,4,1.2807464810592915,0.8646895827361151,0.9995773347544582,0.00031797749858367505,0.0033222591362126247,0.01948069440626562,-0.2755575136979315,0.019929300329847972,0.24634155351547782
bert-base-multilingual-cased,100.0,es,affine,MT_minus_TM,4,0.789851982959594,0.9830863830821055,0.9995952083894679,0.00026171961160399856,0.0033222591362126247,-0.040995279941633565,0.00900999922947894,-0.057807244806443905,0.08497023608855885
bert-base-multilingual-cased,100.0,fr,linear,NQ_minus_QN,4,1.4421633753183558,0.9133501117228822,0.999482421196113,0.00037848450945175655,0.0033222591362126247,-0.15909073296260218,0.20671766376059247,-0.007616303404537631,-0.05329190691779294
bert-base-multilingual-cased,100.0,fr,linear,NM_minus_MN,4,0.7900196707901295,0.9807247630101201,0.999586139268273,0.0002769316098040283,0.0033222591362126247,-0.10653360484039233,0.013197294084795724,0.0502033717899857,0.047658071379237825
bert-base-multilingual-cased,100.0,fr,linear,NT_minus_TN,4,0.7782172215188703,0.9184190760715787,0.9995664545637165,0.00033173260564569283,0.0033222591362126247,-0.1992813140369208,0.006249795354622625,0.012330706261841644,0.17783539230471374
bert-base-multilingual-cased,100.0,fr,linear,QM_minus_MQ,4,1.3380130910252581,0.9143814103240004,0.9994996597726102,0.0003762090978416683,0.0033222591362126247,0.0970028361058261,-0.196616441505627,0.035698807574533455,0.07785039299335124
bert-base-multilingual-cased,100.0,fr,linear,QT_minus_TQ,4,1.4030854265990855,0.9181733922160527,0.9995311622902872,0.0003186663170031296,0.0033222591362126247,0.07987218459385638,-0.20356018679319127,0.028845349517351494,0.10591116913209403
bert-base-multilingual-cased,100.0,fr,linear,MT_minus_TM,4,0.8320675180987633,0.9772052054269705,0.9995564684264909,0.0002963998960410686,0.0033222591362126247,-0.06368875760219649,0.002655295987585675,-0.054209357908849023,0.10774525409404083
