model,scale,language,template_id,representation,cv_adjacent_norm,cos_step_12,cos_step_23,cos_step_34
xlm-roberta-base,attention,ru,107,mean_pool,0.10910329967737198,-0.7239499688148499,-0.50341796875,-0.6840360164642334
xlm-roberta-base,attention,ru,108,mean_pool,0.09715550392866135,-0.5651257634162903,-0.4313740134239197,-0.7221869826316833
xlm-roberta-base,attention,ru,109,mean_pool,0.055438172072172165,-0.577063798904419,-0.48439496755599976,-0.6752486824989319
xlm-roberta-base,attention,ru,110,mean_pool,0.12707367539405823,-0.6245594024658203,-0.4884037971496582,-0.5983228087425232
xlm-roberta-base,attention,ru,111,mean_pool,0.21089941263198853,-0.4386146366596222,-0.27297917008399963,-0.7419649362564087
xlm-roberta-base,attention,ru,112,mean_pool,0.19857750833034515,-0.5719175934791565,-0.2400638312101364,-0.7945050597190857
xlm-roberta-base,attention,ru,113,mean_pool,0.14322704076766968,-0.549767255783081,-0.47700026631355286,-0.693332314491272
xlm-roberta-base,attention,ru,114,mean_pool,0.13218051195144653,-0.5403594374656677,-0.5664341449737549,-0.6531839966773987
xlm-roberta-base,attention,ru,115,mean_pool,0.15884892642498016,-0.5259984731674194,-0.3183925151824951,-0.7454784512519836
xlm-roberta-base,attention,ru,116,mean_pool,0.04791548475623131,-0.7061063647270203,-0.49337878823280334,-0.6313225626945496
xlm-roberta-base,attention,ru,117,mean_pool,0.1338966339826584,-0.4791182577610016,-0.39158689975738525,-0.5864977240562439
xlm-roberta-base,attention,ru,118,mean_pool,0.07187563925981522,-0.807820737361908,-0.5160654187202454,-0.7184357643127441
xlm-roberta-base,attention,ru,119,mean_pool,0.07850571721792221,-0.5188049674034119,-0.5721754431724548,-0.5081637501716614
xlm-roberta-base,attention,zh,0,mean_pool,0.11583113670349121,-0.4281950891017914,-0.5235072374343872,-0.5762963891029358
xlm-roberta-base,attention,zh,1,mean_pool,0.05297430232167244,-0.556313693523407,-0.5073602795600891,-0.48296040296554565
xlm-roberta-base,attention,zh,2,mean_pool,0.1804659068584442,-0.5055106282234192,-0.4549332559108734,-0.5607680082321167
xlm-roberta-base,attention,zh,3,mean_pool,0.13324987888336182,-0.3891054093837738,-0.4872640073299408,-0.4825366139411926
xlm-roberta-base,attention,zh,4,mean_pool,0.12140704691410065,-0.42093515396118164,-0.5976573824882507,-0.5402237176895142
xlm-roberta-base,attention,zh,5,mean_pool,0.10178421437740326,-0.5566689968109131,-0.5168493986129761,-0.44842642545700073
xlm-roberta-base,attention,zh,6,mean_pool,0.17883844673633575,-0.6779307723045349,-0.5725151896476746,-0.5475974678993225
xlm-roberta-base,attention,zh,7,mean_pool,0.2073456197977066,-0.40234386920928955,-0.4012456238269806,-0.44517573714256287
xlm-roberta-base,attention,zh,8,mean_pool,0.21215865015983582,-0.5027487277984619,-0.4972742795944214,-0.36858415603637695
xlm-roberta-base,attention,zh,9,mean_pool,0.07190671563148499,-0.6029314398765564,-0.3731260299682617,-0.5831888318061829
xlm-roberta-base,attention,zh,10,mean_pool,0.10375230014324188,-0.4027691185474396,-0.6349154114723206,-0.30786457657814026
xlm-roberta-base,attention,zh,11,mean_pool,0.20617824792861938,-0.2782345414161682,-0.7911106944084167,-0.36950817704200745
xlm-roberta-base,attention,zh,12,mean_pool,0.0759332925081253,-0.49075278639793396,-0.5774207711219788,-0.5102078914642334
xlm-roberta-base,attention,zh,13,mean_pool,0.14627832174301147,-0.47450387477874756,-0.468841552734375,-0.5360418558120728
xlm-roberta-base,attention,zh,14,mean_pool,0.10708750039339066,-0.4841404855251312,-0.46211573481559753,-0.6403306126594543
xlm-roberta-base,attention,zh,15,mean_pool,0.06365614384412766,-0.680987536907196,-0.596201479434967,-0.4678908884525299
xlm-roberta-base,attention,zh,16,mean_pool,0.1203169971704483,-0.44894862174987793,-0.5308831930160522,-0.4642423689365387
xlm-roberta-base,attention,zh,17,mean_pool,0.11126497387886047,-0.5604943037033081,-0.4929835796356201,-0.3856354355812073
xlm-roberta-base,attention,zh,18,mean_pool,0.20001155138015747,-0.373092919588089,-0.29456615447998047,-0.6102395057678223
xlm-roberta-base,attention,zh,19,mean_pool,0.09373542666435242,-0.5754632353782654,-0.5934353470802307,-0.5097503662109375
xlm-roberta-base,attention,zh,20,mean_pool,0.14687804877758026,-0.5422232151031494,-0.4522007703781128,-0.5462431311607361
xlm-roberta-base,attention,zh,21,mean_pool,0.11703643947839737,-0.48555150628089905,-0.5235297679901123,-0.5589590668678284
xlm-roberta-base,attention,zh,22,mean_pool,0.1302422434091568,-0.4513530135154724,-0.4292018413543701,-0.6197333931922913
xlm-roberta-base,attention,zh,23,mean_pool,0.1316184550523758,-0.36209598183631897,-0.46807661652565,-0.4756007790565491
xlm-roberta-base,attention,zh,24,mean_pool,0.1709146648645401,-0.5303096175193787,-0.4296714663505554,-0.433570921421051
xlm-roberta-base,attention,zh,25,mean_pool,0.05056477710604668,-0.3885266184806824,-0.5116012096405029,-0.6505531668663025
xlm-roberta-base,attention,zh,26,mean_pool,0.1571137011051178,-0.48246705532073975,-0.5323671698570251,-0.37029942870140076
xlm-roberta-base,attention,zh,27,mean_pool,0.1335609406232834,-0.49667930603027344,-0.5377065539360046,-0.5222396850585938
xlm-roberta-base,attention,zh,28,mean_pool,0.06887378543615341,-0.46158286929130554,-0.40456244349479675,-0.6107332706451416
xlm-roberta-base,attention,zh,29,mean_pool,0.1422370970249176,-0.4790639579296112,-0.5280198454856873,-0.6655142903327942
xlm-roberta-base,attention,zh,30,mean_pool,0.15129947662353516,-0.40275150537490845,-0.6167953610420227,-0.47616884112358093
xlm-roberta-base,attention,zh,31,mean_pool,0.0784098207950592,-0.6686512231826782,-0.5285720229148865,-0.5116330981254578
xlm-roberta-base,attention,zh,32,mean_pool,0.09311441332101822,-0.6605193018913269,-0.5338167548179626,-0.5482088923454285
xlm-roberta-base,attention,zh,33,mean_pool,0.16708719730377197,-0.4637945294380188,-0.5645828247070312,-0.47460848093032837
xlm-roberta-base,attention,zh,34,mean_pool,0.36179107427597046,-0.24252252280712128,-0.6959354877471924,-0.34780147671699524
xlm-roberta-base,attention,zh,35,mean_pool,0.1866639405488968,-0.3648781180381775,-0.45564913749694824,-0.49882012605667114
xlm-roberta-base,attention,zh,36,mean_pool,0.11892907321453094,-0.5818055868148804,-0.4972345232963562,-0.4471537470817566
xlm-roberta-base,attention,zh,37,mean_pool,0.11978789418935776,-0.44778093695640564,-0.30359944701194763,-0.4782109558582306
xlm-roberta-base,attention,zh,38,mean_pool,0.16167892515659332,-0.4640853703022003,-0.4826018810272217,-0.5936967134475708
xlm-roberta-base,attention,zh,39,mean_pool,0.07008026540279388,-0.47682633996009827,-0.44851741194725037,-0.41335490345954895
xlm-roberta-base,attention,zh,40,mean_pool,0.17404507100582123,-0.5561503171920776,-0.5198757648468018,-0.23751200735569
xlm-roberta-base,attention,zh,41,mean_pool,0.17477595806121826,-0.49256134033203125,-0.5534675121307373,-0.376035213470459
xlm-roberta-base,attention,zh,42,mean_pool,0.1390555053949356,-0.4299875497817993,-0.49466660618782043,-0.5525633692741394
xlm-roberta-base,attention,zh,43,mean_pool,0.1259559988975525,-0.5179186463356018,-0.48293063044548035,-0.5118032097816467
xlm-roberta-base,attention,zh,44,mean_pool,0.17470264434814453,-0.2670136094093323,-0.3174380362033844,-0.3213777244091034
xlm-roberta-base,attention,zh,45,mean_pool,0.07823017984628677,-0.33880603313446045,-0.6109315752983093,-0.4358137547969818
xlm-roberta-base,attention,zh,46,mean_pool,0.3668367266654968,-0.4071468114852905,-0.8143776655197144,-0.36346331238746643
xlm-roberta-base,attention,zh,47,mean_pool,0.19111190736293793,-0.7160112261772156,-0.5322174429893494,-0.43204858899116516
xlm-roberta-base,attention,zh,48,mean_pool,0.08309623599052429,-0.5653790831565857,-0.4873634874820709,-0.5293320417404175
xlm-roberta-base,attention,zh,49,mean_pool,0.1068953350186348,-0.505247950553894,-0.3596689701080322,-0.6953372955322266
xlm-roberta-base,attention,zh,50,mean_pool,0.03843379020690918,-0.5699983239173889,-0.5380406975746155,-0.5425682067871094
xlm-roberta-base,attention,zh,51,mean_pool,0.10041185468435287,-0.39971816539764404,-0.6143231987953186,-0.4835793972015381
xlm-roberta-base,attention,zh,52,mean_pool,0.10021045804023743,-0.4628021717071533,-0.506013810634613,-0.5518603324890137
xlm-roberta-base,attention,zh,53,mean_pool,0.11109946668148041,-0.6611467599868774,-0.5729390382766724,-0.41815316677093506
