model,scale,language,template_id,representation,cv_adjacent_norm,cos_step_12,cos_step_23,cos_step_34
BAAI/bge-m3,affect,en,16,mean_pool,0.6415808200836182,-0.16860966384410858,-0.5991490483283997,0.07671277225017548
BAAI/bge-m3,affect,en,17,mean_pool,0.6029170751571655,-0.06621884554624557,-0.5687007308006287,0.12946872413158417
BAAI/bge-m3,affect,en,18,mean_pool,0.6778973937034607,-0.15371094644069672,-0.5949617624282837,0.12262502312660217
BAAI/bge-m3,affect,en,19,mean_pool,0.6212142109870911,-0.05247065797448158,-0.5006720423698425,0.1703609824180603
BAAI/bge-m3,affect,en,20,mean_pool,0.5943535566329956,-0.11763998866081238,-0.5386335253715515,0.1004355177283287
BAAI/bge-m3,affect,en,21,mean_pool,0.5839551687240601,-0.10588844120502472,-0.5861273407936096,0.05865209922194481
BAAI/bge-m3,affect,en,22,mean_pool,0.5490478873252869,-0.08050001412630081,-0.5896487236022949,0.13671094179153442
BAAI/bge-m3,affect,en,23,mean_pool,0.6398016810417175,-0.19009678065776825,-0.5901180505752563,0.13590925931930542
BAAI/bge-m3,affect,en,24,mean_pool,0.5439665913581848,-0.0032770084217190742,-0.5114187002182007,-0.14757050573825836
BAAI/bge-m3,affect,en,25,mean_pool,0.6325205564498901,0.018447836861014366,-0.5724759101867676,0.10441792011260986
BAAI/bge-m3,affect,en,26,mean_pool,0.6407043933868408,-0.03671644255518913,-0.5387763381004333,0.16260536015033722
BAAI/bge-m3,affect,en,27,mean_pool,0.661913275718689,-0.08432354032993317,-0.5423043966293335,0.13951539993286133
BAAI/bge-m3,affect,en,28,mean_pool,0.5297186374664307,-0.05696002393960953,-0.5963794589042664,0.29697442054748535
BAAI/bge-m3,affect,en,29,mean_pool,0.48752057552337646,-0.042349252849817276,-0.5347108840942383,-0.11367084830999374
BAAI/bge-m3,affect,en,30,mean_pool,0.6497438549995422,-0.14048202335834503,-0.601351261138916,0.09998224675655365
BAAI/bge-m3,affect,en,31,mean_pool,0.5571512579917908,-0.04410640150308609,-0.5479038953781128,0.1195431724190712
BAAI/bge-m3,affect,en,32,mean_pool,0.6332234740257263,-0.007719928864389658,-0.5111123919487,0.12267910689115524
BAAI/bge-m3,affect,en,33,mean_pool,0.6027035713195801,-0.10752149671316147,-0.5801955461502075,0.05261612683534622
BAAI/bge-m3,affect,en,34,mean_pool,0.4800473153591156,-0.08548208326101303,-0.5023542046546936,-0.08008036762475967
BAAI/bge-m3,affect,en,35,mean_pool,0.6124593615531921,-0.046102914959192276,-0.6135168075561523,0.10359464585781097
BAAI/bge-m3,affect,en,36,mean_pool,0.6126886010169983,0.039559248834848404,-0.48453283309936523,0.23585937917232513
BAAI/bge-m3,affect,en,37,mean_pool,0.6274820566177368,0.01700199767947197,-0.5252658724784851,0.025595225393772125
BAAI/bge-m3,affect,en,38,mean_pool,0.6156436800956726,-0.06399058550596237,-0.6163930892944336,0.12102430313825607
BAAI/bge-m3,affect,en,39,mean_pool,0.621719241142273,-0.03606517240405083,-0.544479250907898,0.14853857457637787
BAAI/bge-m3,affect,en,40,mean_pool,0.5834967494010925,-0.10157057642936707,-0.5342045426368713,0.14135093986988068
BAAI/bge-m3,affect,en,41,mean_pool,0.7036721706390381,-0.075825035572052,-0.5657095313072205,0.15528510510921478
BAAI/bge-m3,affect,en,42,mean_pool,0.593364417552948,-0.02417416125535965,-0.5883808135986328,0.24445205926895142
BAAI/bge-m3,affect,en,43,mean_pool,0.6021356582641602,-0.05338473245501518,-0.5345245003700256,0.12203469127416611
BAAI/bge-m3,affect,en,44,mean_pool,0.6001095771789551,-0.025659359991550446,-0.5459800958633423,0.06743168830871582
BAAI/bge-m3,affect,en,45,mean_pool,0.5827302932739258,-0.07662252336740494,-0.5476555824279785,0.13532136380672455
BAAI/bge-m3,affect,en,46,mean_pool,0.6058270335197449,-0.03329392150044441,-0.5727283358573914,0.14568829536437988
BAAI/bge-m3,affect,en,47,mean_pool,0.640648603439331,-0.1695728898048401,-0.637819230556488,0.1675809770822525
BAAI/bge-m3,affect,en,48,mean_pool,0.6555343866348267,-0.16904082894325256,-0.5694891214370728,0.15046246349811554
BAAI/bge-m3,affect,en,49,mean_pool,0.6425520777702332,-0.06062758341431618,-0.5122857093811035,0.15491913259029388
BAAI/bge-m3,affect,en,50,mean_pool,0.5489281415939331,-0.05148006230592728,-0.5897194743156433,0.21685801446437836
BAAI/bge-m3,affect,en,51,mean_pool,0.535542905330658,-0.07716809958219528,-0.5512083768844604,0.18224062025547028
BAAI/bge-m3,affect,en,52,mean_pool,0.6220219731330872,-0.06718067824840546,-0.5312330722808838,0.17647282779216766
BAAI/bge-m3,affect,en,53,mean_pool,0.5539008975028992,-0.09618573635816574,-0.5479170083999634,-0.03194417804479599
