section,source_file,group,metric,estimate,n,numerator,ci95_low,ci95_high
gpt2_exclamation_steering,results\experiments\gpt2_exclamation_copy_prompt_steering_20260716_results\csv\exclamation_copy_prompt_summary.csv,source_set=in_template | prompt_style=copy_sentence | layer=3 | control=target_exclamation,exclamation_mark_rate,1.0,40,40.0,0.9123754607496077,1.0
gpt2_exclamation_steering,results\experiments\gpt2_exclamation_copy_prompt_steering_20260716_results\csv\exclamation_copy_prompt_summary.csv,source_set=in_template | prompt_style=repeat_sentence | layer=2 | control=target_exclamation,exclamation_and_preserved_rate,1.0,40,40.0,0.9123754607496077,1.0
gpt2_exclamation_steering,results\experiments\gpt2_exclamation_copy_prompt_steering_20260716_results\csv\exclamation_copy_prompt_summary.csv,source_set=in_template | prompt_style=repeat_sentence | layer=2 | control=target_exclamation,exclamation_mark_rate,1.0,40,40.0,0.9123754607496077,1.0
gpt2_exclamation_steering,results\experiments\gpt2_exclamation_copy_prompt_steering_20260716_results\csv\exclamation_copy_prompt_summary.csv,source_set=in_template | prompt_style=repeat_sentence | layer=3 | control=target_exclamation,exclamation_and_preserved_rate,0.975,40,39.0,0.8711834051199223,0.9955732825922052
gpt2_exclamation_steering,results\experiments\gpt2_exclamation_copy_prompt_steering_20260716_results\csv\exclamation_copy_prompt_summary.csv,source_set=in_template | prompt_style=repeat_sentence | layer=3 | control=target_exclamation,exclamation_mark_rate,1.0,40,40.0,0.9123754607496077,1.0
gpt2_exclamation_steering,results\experiments\gpt2_exclamation_copy_prompt_steering_20260716_results\csv\exclamation_copy_prompt_summary.csv,source_set=in_template | prompt_style=same_sentence | layer=2 | control=target_exclamation,exclamation_and_preserved_rate,1.0,40,40.0,0.9123754607496077,1.0
gpt2_exclamation_steering,results\experiments\gpt2_exclamation_copy_prompt_steering_20260716_results\csv\exclamation_copy_prompt_summary.csv,source_set=in_template | prompt_style=same_sentence | layer=2 | control=target_exclamation,exclamation_mark_rate,1.0,40,40.0,0.9123754607496077,1.0
gpt2_exclamation_steering,results\experiments\gpt2_exclamation_copy_prompt_steering_20260716_results\csv\exclamation_copy_prompt_summary.csv,source_set=in_template | prompt_style=same_sentence | layer=3 | control=target_exclamation,exclamation_and_preserved_rate,0.975,40,39.0,0.8711834051199223,0.9955732825922052
gpt2_exclamation_steering,results\experiments\gpt2_exclamation_copy_prompt_steering_20260716_results\csv\exclamation_copy_prompt_summary.csv,source_set=in_template | prompt_style=same_sentence | layer=3 | control=target_exclamation,exclamation_mark_rate,1.0,40,40.0,0.9123754607496077,1.0
gpt2_final_marker_logit_audit,results\experiments\gpt2_final_marker_logit_audit_layer2_3_20260810_v2_results\csv\final_marker_logit_sequence_raw.csv,target_class=ellipsis | control=none,target_marker_hit,0.0,96,0.0,0.0,0.03847694748481595
