model,language,template_id,representation,from_level,to_level,step_size,delta_norm
BAAI/bge-m3,en,14,mean_pool,-1,1,2,12.6484375
BAAI/bge-m3,en,14,mean_pool,0,2,2,14.360689163208008
BAAI/bge-m3,en,14,mean_pool,-2,2,4,13.899221420288086
BAAI/bge-m3,en,15,mean_pool,-2,-1,1,4.228646755218506
BAAI/bge-m3,en,15,mean_pool,-1,0,1,9.80859375
BAAI/bge-m3,en,15,mean_pool,0,1,1,12.586410522460938
BAAI/bge-m3,en,15,mean_pool,1,2,1,3.581884384155273
BAAI/bge-m3,en,15,mean_pool,-2,0,2,10.698665618896484
BAAI/bge-m3,en,15,mean_pool,-1,1,2,10.795170783996582
BAAI/bge-m3,en,15,mean_pool,0,2,2,13.821539878845217
BAAI/bge-m3,en,15,mean_pool,-2,2,4,12.442744255065918
BAAI/bge-m3,en,16,mean_pool,-2,-1,1,4.599979877471924
BAAI/bge-m3,en,16,mean_pool,-1,0,1,9.755019187927246
BAAI/bge-m3,en,16,mean_pool,0,1,1,13.083022117614746
BAAI/bge-m3,en,16,mean_pool,1,2,1,2.643861055374145
BAAI/bge-m3,en,16,mean_pool,-2,0,2,10.01653289794922
BAAI/bge-m3,en,16,mean_pool,-1,1,2,10.619288444519045
BAAI/bge-m3,en,16,mean_pool,0,2,2,13.503609657287598
BAAI/bge-m3,en,16,mean_pool,-2,2,4,12.449810981750488
BAAI/bge-m3,en,17,mean_pool,-2,-1,1,4.89814043045044
BAAI/bge-m3,en,17,mean_pool,-1,0,1,10.079490661621094
BAAI/bge-m3,en,17,mean_pool,0,1,1,12.216806411743164
BAAI/bge-m3,en,17,mean_pool,1,2,1,2.742419004440308
BAAI/bge-m3,en,17,mean_pool,-2,0,2,10.836990356445312
BAAI/bge-m3,en,17,mean_pool,-1,1,2,10.517333984375
BAAI/bge-m3,en,17,mean_pool,0,2,2,12.818963050842283
BAAI/bge-m3,en,17,mean_pool,-2,2,4,11.773694038391112
BAAI/bge-m3,en,18,mean_pool,-2,-1,1,4.6151442527771
BAAI/bge-m3,en,18,mean_pool,-1,0,1,10.432662010192873
BAAI/bge-m3,en,18,mean_pool,0,1,1,13.851923942565918
BAAI/bge-m3,en,18,mean_pool,1,2,1,2.434991836547852
BAAI/bge-m3,en,18,mean_pool,-2,0,2,10.702028274536133
BAAI/bge-m3,en,18,mean_pool,-1,1,2,11.318392753601074
BAAI/bge-m3,en,18,mean_pool,0,2,2,14.297871589660645
BAAI/bge-m3,en,18,mean_pool,-2,2,4,13.060432434082031
BAAI/bge-m3,en,19,mean_pool,-2,-1,1,4.927011489868164
BAAI/bge-m3,en,19,mean_pool,-1,0,1,9.177154541015623
BAAI/bge-m3,en,19,mean_pool,0,1,1,14.024903297424316
BAAI/bge-m3,en,19,mean_pool,1,2,1,3.3842360973358154
BAAI/bge-m3,en,19,mean_pool,-2,0,2,10.152430534362791
BAAI/bge-m3,en,19,mean_pool,-1,1,2,12.35473346710205
BAAI/bge-m3,en,19,mean_pool,0,2,2,14.935087203979492
BAAI/bge-m3,en,19,mean_pool,-2,2,4,14.374454498291016
BAAI/bge-m3,en,20,mean_pool,-2,-1,1,4.701333522796631
BAAI/bge-m3,en,20,mean_pool,-1,0,1,9.564123153686523
BAAI/bge-m3,en,20,mean_pool,0,1,1,13.614636421203612
BAAI/bge-m3,en,20,mean_pool,1,2,1,3.670677423477173
BAAI/bge-m3,en,20,mean_pool,-2,0,2,10.11582374572754
BAAI/bge-m3,en,20,mean_pool,-1,1,2,11.764853477478027
BAAI/bge-m3,en,20,mean_pool,0,2,2,14.407818794250488
BAAI/bge-m3,en,20,mean_pool,-2,2,4,13.316072463989258
BAAI/bge-m3,en,21,mean_pool,-2,-1,1,5.163794040679932
BAAI/bge-m3,en,21,mean_pool,-1,0,1,10.247424125671388
BAAI/bge-m3,en,21,mean_pool,0,1,1,13.472609519958496
BAAI/bge-m3,en,21,mean_pool,1,2,1,3.4222803115844727
BAAI/bge-m3,en,21,mean_pool,-2,0,2,10.929752349853516
BAAI/bge-m3,en,21,mean_pool,-1,1,2,11.247355461120604
BAAI/bge-m3,en,21,mean_pool,0,2,2,14.057453155517578
BAAI/bge-m3,en,21,mean_pool,-2,2,4,13.290631294250488
BAAI/bge-m3,en,22,mean_pool,-2,-1,1,4.758394241333008
BAAI/bge-m3,en,22,mean_pool,-1,0,1,11.27204418182373
BAAI/bge-m3,en,22,mean_pool,0,1,1,13.405531883239746
BAAI/bge-m3,en,22,mean_pool,1,2,1,4.457756996154785
BAAI/bge-m3,en,22,mean_pool,-2,0,2,11.81254768371582
BAAI/bge-m3,en,22,mean_pool,-1,1,2,11.38337516784668
BAAI/bge-m3,en,22,mean_pool,0,2,2,14.578551292419434
BAAI/bge-m3,en,22,mean_pool,-2,2,4,12.784043312072754
BAAI/bge-m3,en,23,mean_pool,-2,-1,1,4.708745002746582
BAAI/bge-m3,en,23,mean_pool,-1,0,1,10.049276351928713
BAAI/bge-m3,en,23,mean_pool,0,1,1,13.33950424194336
BAAI/bge-m3,en,23,mean_pool,1,2,1,2.6914308071136475
BAAI/bge-m3,en,23,mean_pool,-2,0,2,10.2380952835083
BAAI/bge-m3,en,23,mean_pool,-1,1,2,10.917350769042969
BAAI/bge-m3,en,23,mean_pool,0,2,2,13.895659446716309
BAAI/bge-m3,en,23,mean_pool,-2,2,4,12.95607089996338
BAAI/bge-m3,en,24,mean_pool,-2,-1,1,5.10433292388916
BAAI/bge-m3,en,24,mean_pool,-1,0,1,9.863435745239258
BAAI/bge-m3,en,24,mean_pool,0,1,1,13.848824501037598
BAAI/bge-m3,en,24,mean_pool,1,2,1,4.8769636154174805
BAAI/bge-m3,en,24,mean_pool,-2,0,2,10.97811508178711
BAAI/bge-m3,en,24,mean_pool,-1,1,2,12.143474578857422
BAAI/bge-m3,en,24,mean_pool,0,2,2,13.952832221984863
BAAI/bge-m3,en,24,mean_pool,-2,2,4,13.505488395690918
BAAI/bge-m3,en,25,mean_pool,-2,-1,1,4.261362075805664
BAAI/bge-m3,en,25,mean_pool,-1,0,1,8.549092292785645
BAAI/bge-m3,en,25,mean_pool,0,1,1,11.477418899536133
BAAI/bge-m3,en,25,mean_pool,1,2,1,2.435247898101806
BAAI/bge-m3,en,25,mean_pool,-2,0,2,9.548376083374023
BAAI/bge-m3,en,25,mean_pool,-1,1,2,9.66658878326416
