model,template_id,triple,a,b,c,jacobi_norm,relative_jacobi_norm,null_mean_relative_jacobi_norm,null_std_relative_jacobi_norm,jacobi_to_null_mean_ratio,null_percentile_smaller_is_better
roberta-base,32,NQT,N,Q,T,2.611319065093994,0.3350709080696106,0.31394473722577093,0.06721495147124519,1.0672926421046507,0.697
roberta-base,32,NMT,N,M,T,3.4504740238189697,0.4317876398563385,0.33579217486083507,0.09272871454010226,1.2858776117519763,0.817
roberta-base,32,QMT,Q,M,T,1.6543328762054443,0.21129927039146423,0.32813157185912134,0.08421997125953022,0.643946783888076,0.091
roberta-base,33,NQM,N,Q,M,2.3766872882843018,0.3049313724040985,0.31360957109928134,0.07320715704631253,0.9723280170763416,0.789
roberta-base,33,NQT,N,Q,T,2.5714313983917236,0.34027642011642456,0.3260654460787773,0.07536528484855974,1.043583195360021,0.685
roberta-base,33,NMT,N,M,T,3.5380091667175293,0.4306202530860901,0.3538072266727686,0.10481043661688876,1.217104176006975,0.798
roberta-base,33,QMT,Q,M,T,1.8310598134994507,0.2395155280828476,0.35739203584194185,0.09061272812750387,0.6701758966674461,0.113
roberta-base,34,NQM,N,Q,M,2.386638879776001,0.31482455134391785,0.31795538604259493,0.06634754654275887,0.9901532264050158,0.719
roberta-base,34,NQT,N,Q,T,2.6281888484954834,0.34757888317108154,0.3262055571079254,0.07541681247965878,1.0655210360350154,0.628
roberta-base,34,NMT,N,M,T,3.4977173805236816,0.42388617992401123,0.349407415792346,0.10417125562045472,1.2131573651966077,0.787
roberta-base,34,QMT,Q,M,T,1.8327471017837524,0.2371787428855896,0.35837443409860137,0.09227883526746497,0.6618182557622724,0.114
roberta-base,35,NQM,N,Q,M,2.3447885513305664,0.32204195857048035,0.33787295201420786,0.07196789654004236,0.9531451294035075,0.587
roberta-base,35,NQT,N,Q,T,2.66872239112854,0.35953664779663086,0.34015552270412447,0.07523071904300642,1.0569772465764362,0.687
roberta-base,35,NMT,N,M,T,3.507902145385742,0.441059410572052,0.34312886691093447,0.09355263093406095,1.285404561095269,0.805
roberta-base,35,QMT,Q,M,T,1.7006632089614868,0.2219831645488739,0.35703809924423696,0.09676634774381389,0.6217352294282786,0.098
roberta-base,36,NQM,N,Q,M,2.264986276626587,0.3166602551937103,0.3321146313548088,0.06745895552628325,0.9534667409893739,0.629
roberta-base,36,NQT,N,Q,T,2.6645259857177734,0.3700511157512665,0.3461328288316727,0.07728713445421871,1.0691014689339289,0.706
roberta-base,36,NMT,N,M,T,3.4774997234344482,0.435933381319046,0.35206407214701174,0.10007573360167138,1.2382217210047344,0.795
roberta-base,36,QMT,Q,M,T,1.6449354887008667,0.22252844274044037,0.3594106472581625,0.09575307075580727,0.6191481650235597,0.115
roberta-base,37,NQM,N,Q,M,2.3256211280822754,0.301218718290329,0.31155682167410853,0.0641602381663409,0.9668179199890539,0.704
roberta-base,37,NQT,N,Q,T,2.5578103065490723,0.3281957805156708,0.30322977805137635,0.06855262196852702,1.08233361058287,0.792
roberta-base,37,NMT,N,M,T,3.3778889179229736,0.4324282705783844,0.3288318652659655,0.08082472987647797,1.3150436933090812,0.9
roberta-base,37,QMT,Q,M,T,1.7092007398605347,0.22027114033699036,0.3414817778170109,0.0855127461111813,0.6450450789628416,0.104
roberta-base,38,NQM,N,Q,M,2.248480796813965,0.3115781247615814,0.3302522575557232,0.06937978584174537,0.9434549427964642,0.502
