model,language,pair,mean_relative_commutator_norm,std_relative_commutator_norm,mean_noncommutativity,n
distilbert-base-multilingual-cased,fr,NT_vs_TN,0.8117592297494411,0.04613636520987,0.3283532454321782,96
distilbert-base-multilingual-cased,fr,QM_vs_MQ,0.4659620504826307,0.0310321241183119,0.1088448024044434,96
distilbert-base-multilingual-cased,fr,QT_vs_TQ,0.4226492599894603,0.0270156712473813,0.0877619522313277,96
distilbert-base-multilingual-cased,ru,MT_vs_TM,0.1254252480963865,0.0281603986586061,0.0080491745223601,96
distilbert-base-multilingual-cased,ru,NM_vs_MN,0.13091187326548,0.0351000690816921,0.0089776677389939,96
distilbert-base-multilingual-cased,ru,NQ_vs_QN,0.8070376341541609,0.0417502896799653,0.3054896580676238,96
distilbert-base-multilingual-cased,ru,NT_vs_TN,1.161555324991544,0.0981991119327289,0.6766901953766743,96
distilbert-base-multilingual-cased,ru,QM_vs_MQ,0.5757184041043123,0.0582276110734568,0.1487510949373245,96
distilbert-base-multilingual-cased,ru,QT_vs_TQ,0.5484905429184437,0.0602459059315961,0.1393672730773687,96
distilbert-base-multilingual-cased,zh,MT_vs_TM,0.0,0.0,4.346172014872233e-09,96
distilbert-base-multilingual-cased,zh,NM_vs_MN,0.0,0.0,9.934107462565104e-09,96
distilbert-base-multilingual-cased,zh,NQ_vs_QN,0.5909056179225445,0.0285553684910057,0.1742770659426848,96
distilbert-base-multilingual-cased,zh,NT_vs_TN,0.9192469716072084,0.0683193066610565,0.3985090162605047,96
distilbert-base-multilingual-cased,zh,QM_vs_MQ,0.4291720061252514,0.0283049028711064,0.090389817332228,96
distilbert-base-multilingual-cased,zh,QT_vs_TQ,0.4141209227964282,0.0187749800212944,0.0839650059739748,96
intfloat/multilingual-e5-large,ar,MT_vs_TM,0.172215688896055,0.0588877771675107,0.0160965447624524,96
intfloat/multilingual-e5-large,ar,NM_vs_MN,0.1713809935996929,0.065999346120473,0.0165034507711728,96
intfloat/multilingual-e5-large,ar,NQ_vs_QN,0.7003200482577085,0.0565473556312813,0.2435739170759916,96
intfloat/multilingual-e5-large,ar,NT_vs_TN,0.5410946154346069,0.1074563866770553,0.1318772596617539,96
intfloat/multilingual-e5-large,ar,QM_vs_MQ,0.6092286876713237,0.0523139010674678,0.1811699910710255,96
intfloat/multilingual-e5-large,ar,QT_vs_TQ,0.6498204177866379,0.0434477281261093,0.2021980167677005,96
intfloat/multilingual-e5-large,de,MT_vs_TM,0.211747797516485,0.0801244336659971,0.0248228125274181,96
intfloat/multilingual-e5-large,de,NM_vs_MN,0.1849260223098099,0.0591898200177431,0.0183382096389929,96
intfloat/multilingual-e5-large,de,NQ_vs_QN,0.7955790665000677,0.0559496504522805,0.3163083605468273,96
intfloat/multilingual-e5-large,de,NT_vs_TN,0.7891990784555674,0.1078425151852597,0.3099077803393205,96
intfloat/multilingual-e5-large,de,QM_vs_MQ,0.672091736147801,0.0859280863442687,0.2231493430833021,96
intfloat/multilingual-e5-large,de,QT_vs_TQ,0.6696231290698051,0.0648483568468071,0.2210602772732575,96
intfloat/multilingual-e5-large,en,MT_vs_TM,0.194747531088069,0.0360206447253936,0.0192238278687,96
intfloat/multilingual-e5-large,en,NM_vs_MN,0.1145215736857305,0.0263151786032059,0.0067135052134593,96
intfloat/multilingual-e5-large,en,NQ_vs_QN,0.7211356951544682,0.0409942333615353,0.2534304565439622,96
intfloat/multilingual-e5-large,en,NT_vs_TN,0.4205465810373425,0.0854393557244248,0.0901397907485564,96
intfloat/multilingual-e5-large,en,QM_vs_MQ,0.338817068375647,0.0626435569991618,0.0570857437948385,96
intfloat/multilingual-e5-large,en,QT_vs_TQ,0.5454720097283522,0.0545907684888429,0.1454927871624628,96
intfloat/multilingual-e5-large,es,MT_vs_TM,0.246626279860114,0.1043628475789704,0.0347079715381066,96
intfloat/multilingual-e5-large,es,NM_vs_MN,0.2067200187593698,0.0778823242599525,0.0239206583549578,96
intfloat/multilingual-e5-large,es,NQ_vs_QN,0.7882842750598987,0.0640993077341755,0.309451042364041,96
intfloat/multilingual-e5-large,es,NT_vs_TN,0.5307676376154026,0.0586566207825147,0.1402364621559778,96
intfloat/multilingual-e5-large,es,QM_vs_MQ,0.5392603489259878,0.0936146622534789,0.1360436677932739,96
intfloat/multilingual-e5-large,es,QT_vs_TQ,0.5846288021033009,0.086836599069654,0.1707844827324152,96
intfloat/multilingual-e5-large,fr,MT_vs_TM,0.1799080714117735,0.0652021800057786,0.0178967528045177,96
intfloat/multilingual-e5-large,fr,NM_vs_MN,0.1532667298646023,0.0432205867463156,0.0125407539308071,96
intfloat/multilingual-e5-large,fr,NQ_vs_QN,0.8144770500560602,0.0637798464973387,0.3317984888950984,96
