model,language,template_id,triple,relative_signed_permutation_norm,null_mean,null_std,ratio_to_null_mean,null_percentile_smaller_is_better,p_smaller_or_equal_null
xlm-roberta-base,en,39,QMT,0.45688968896865845,1.0272891355752944,0.7165790252016484,0.4447527703214245,30.12,0.6024795040991802
xlm-roberta-base,en,40,NQM,0.3743778169155121,0.8454668625056744,0.5073162386513937,0.4428060205760656,20.05,0.40111977604479104
xlm-roberta-base,en,40,NQT,0.6399531364440918,0.9732946139335632,0.4119640863140461,0.6575122550581763,30.14,0.6028794241151769
xlm-roberta-base,en,40,NMT,0.5216939449310303,0.6966649028420449,0.29401103666084144,0.7488448790832303,19.75,0.395120975804839
xlm-roberta-base,en,40,QMT,0.4600786864757538,0.7967420152008533,0.42482336014367716,0.5774500122968833,30.27,0.6054789042191562
xlm-roberta-base,en,41,NQM,0.38557642698287964,1.1196653642296792,0.759367722566472,0.34436755775490896,4.92,0.09858028394321136
xlm-roberta-base,en,41,NQT,0.7463265061378479,1.0474555775761605,0.3841516744172232,0.7125137543915269,29.67,0.5934813037392521
xlm-roberta-base,en,41,NMT,0.7778429985046387,0.9515839927315712,0.3976149043618065,0.8174191710297507,30.080000000000002,0.4949010197960408
xlm-roberta-base,en,41,QMT,0.5061114430427551,0.8381725316047668,0.408265161557472,0.6038272837134728,30.060000000000002,0.6012797440511898
xlm-roberta-base,en,42,NQM,0.4839088022708893,1.2001778831124306,0.7588253483763154,0.4031975668603071,20.18,0.40371925614877024
xlm-roberta-base,en,42,NQT,0.7504926919937134,1.2776405497312546,0.6770751926901625,0.5874051916644226,30.79,0.615876824635073
xlm-roberta-base,en,42,NMT,0.9422615766525269,1.2878024682283402,0.5983028283090398,0.7316817601290098,19.44,0.3889222155568886
xlm-roberta-base,en,42,QMT,0.6372485756874084,1.2608581834673882,0.7692045133601921,0.5054086050617169,30.07,0.6014797040591882
xlm-roberta-base,en,43,NQM,0.5396460890769958,0.8933710280656815,0.3674531385669065,0.6040559544949968,19.98,0.3997200559888022
xlm-roberta-base,en,43,NQT,0.5204638242721558,0.8181049587488174,0.39187715676642443,0.6361822144037602,30.11,0.6022795440911818
xlm-roberta-base,en,43,NMT,0.6746139526367188,0.8945487974047661,0.40123192959931714,0.7541387955504845,20.02,0.40051989602079585
xlm-roberta-base,en,43,QMT,0.498031884431839,1.0913365456998347,0.7574434341855986,0.456350413988943,30.310000000000002,0.6062787442511498
xlm-roberta-base,en,44,NQM,0.3352071940898895,0.6395075162112713,0.3500562625915749,0.5241645885184943,19.91,0.39832033593281346
