model,language,template_id,pair,relative_commutator_norm,commutator_norm,cosine_ab_ba,noncommutativity
xlm-roberta-base,en,22,QM_vs_MQ,0.8661214113235474,0.6932506561279297,0.6300441026687622,0.3699558973312378
xlm-roberta-base,en,22,QT_vs_TQ,1.037000060081482,0.8536674380302429,0.47217029333114624,0.5278297066688538
xlm-roberta-base,en,22,MT_vs_TM,0.45027780532836914,0.3120810389518738,0.9077442288398743,0.09225577116012573
xlm-roberta-base,en,23,NQ_vs_QN,0.635621190071106,0.5701524615287781,0.8020941019058228,0.19790589809417725
xlm-roberta-base,en,23,NM_vs_MN,0.21982893347740173,0.2535383105278015,0.9773455262184143,0.022654473781585693
xlm-roberta-base,en,23,NT_vs_TN,0.7527840733528137,0.5748094916343689,0.7520778775215149,0.2479221224784851
xlm-roberta-base,en,23,QM_vs_MQ,0.5541161298751831,0.5112019181251526,0.8740997910499573,0.12590020895004272
xlm-roberta-base,en,23,QT_vs_TQ,0.9927715063095093,0.8316044807434082,0.6320803761482239,0.3679196238517761
xlm-roberta-base,en,23,MT_vs_TM,0.3001898527145386,0.2356332689523697,0.95908522605896,0.04091477394104004
xlm-roberta-base,en,24,NQ_vs_QN,0.6053072214126587,0.5708702206611633,0.817290723323822,0.18270927667617798
xlm-roberta-base,en,24,NM_vs_MN,0.1363983303308487,0.18281061947345734,0.9907314777374268,0.009268522262573242
xlm-roberta-base,en,24,NT_vs_TN,0.9272666573524475,0.8133800625801086,0.7178227305412292,0.28217726945877075
xlm-roberta-base,en,24,QM_vs_MQ,0.5193638801574707,0.5178655385971069,0.8902778625488281,0.10972213745117188
xlm-roberta-base,en,24,QT_vs_TQ,0.8211297392845154,0.7394060492515564,0.7672087550163269,0.2327912449836731
xlm-roberta-base,en,24,MT_vs_TM,0.20874489843845367,0.2885269522666931,0.9783889651298523,0.021611034870147705
xlm-roberta-base,en,25,NQ_vs_QN,0.6861293911933899,0.585945725440979,0.772244393825531,0.227755606174469
xlm-roberta-base,en,25,NM_vs_MN,0.3867358863353729,0.32952630519866943,0.9275147914886475,0.07248520851135254
xlm-roberta-base,en,25,NT_vs_TN,0.8736439347267151,0.5985596776008606,0.6815881729125977,0.31841182708740234
xlm-roberta-base,en,25,QM_vs_MQ,0.6311777234077454,0.5707848072052002,0.8310257196426392,0.16897428035736084
xlm-roberta-base,en,25,QT_vs_TQ,1.0073490142822266,0.8319641947746277,0.5583898425102234,0.4416101574897766
xlm-roberta-base,en,25,MT_vs_TM,0.4204529821872711,0.2999543845653534,0.9116315245628357,0.0883684754371643
xlm-roberta-base,en,26,NQ_vs_QN,0.5738235116004944,0.5602378249168396,0.8353826999664307,0.16461730003356934
xlm-roberta-base,en,26,NM_vs_MN,0.2513175308704376,0.23429378867149353,0.9684222936630249,0.0315777063369751
xlm-roberta-base,en,26,NT_vs_TN,0.6286394596099854,0.5829877257347107,0.8295347690582275,0.17046523094177246
xlm-roberta-base,en,26,QM_vs_MQ,0.6793960332870483,0.6717766523361206,0.7741132378578186,0.2258867621421814
xlm-roberta-base,en,26,QT_vs_TQ,0.8177395462989807,0.7607512474060059,0.7428498268127441,0.25715017318725586
xlm-roberta-base,en,26,MT_vs_TM,0.35496971011161804,0.33723634481430054,0.9377956390380859,0.06220436096191406
xlm-roberta-base,en,27,NQ_vs_QN,0.7875023484230042,0.5455902218818665,0.6901541352272034,0.30984586477279663
xlm-roberta-base,en,27,NM_vs_MN,0.23318640887737274,0.16983652114868164,0.9734851121902466,0.026514887809753418
xlm-roberta-base,en,27,NT_vs_TN,1.1265451908111572,0.5656020641326904,0.3983768820762634,0.6016231179237366
xlm-roberta-base,en,27,QM_vs_MQ,0.7084192037582397,0.531254768371582,0.7565726637840271,0.2434273362159729
xlm-roberta-base,en,27,QT_vs_TQ,1.0504928827285767,0.8349533677101135,0.4536380171775818,0.5463619828224182
xlm-roberta-base,en,27,MT_vs_TM,0.22582754492759705,0.14317354559898376,0.9768743515014648,0.023125648498535156
xlm-roberta-base,en,28,NQ_vs_QN,0.7039582133293152,0.5783934593200684,0.7530715465545654,0.24692845344543457
xlm-roberta-base,en,28,NM_vs_MN,0.16414295136928558,0.18214720487594604,0.9871268272399902,0.012873172760009766
xlm-roberta-base,en,28,NT_vs_TN,0.8365206718444824,0.5597726106643677,0.6821379661560059,0.31786203384399414
xlm-roberta-base,en,28,QM_vs_MQ,0.5480692982673645,0.5215820074081421,0.8658702373504639,0.13412976264953613
xlm-roberta-base,en,28,QT_vs_TQ,1.0047417879104614,0.8066256046295166,0.5389057993888855,0.4610942006111145
xlm-roberta-base,en,28,MT_vs_TM,0.12080542743206024,0.12199585139751434,0.9928016662597656,0.007198333740234375
xlm-roberta-base,en,29,NQ_vs_QN,0.8361409306526184,0.5278553366661072,0.6510871052742004,0.34891289472579956
xlm-roberta-base,en,29,NM_vs_MN,0.3377392292022705,0.2319341003894806,0.9429678320884705,0.05703216791152954
xlm-roberta-base,en,29,NT_vs_TN,1.2290003299713135,0.6978157162666321,0.3857446312904358,0.6142553687095642
xlm-roberta-base,en,29,QM_vs_MQ,0.8296749591827393,0.5605698823928833,0.6564515233039856,0.3435484766960144
xlm-roberta-base,en,29,QT_vs_TQ,1.0366476774215698,0.7105991244316101,0.46294522285461426,0.5370547771453857
xlm-roberta-base,en,29,MT_vs_TM,0.2990809977054596,0.2301035076379776,0.9575121402740479,0.04248785972595215
xlm-roberta-base,en,30,NQ_vs_QN,0.7064141631126404,0.5947750806808472,0.7545251846313477,0.24547481536865234
xlm-roberta-base,en,30,NM_vs_MN,0.2527858018875122,0.22757166624069214,0.9727416634559631,0.027258336544036865
xlm-roberta-base,en,30,NT_vs_TN,0.862384557723999,0.5504665970802307,0.6384345293045044,0.3615654706954956
xlm-roberta-base,en,30,QM_vs_MQ,0.6045634746551514,0.5276315808296204,0.844828724861145,0.15517127513885498
xlm-roberta-base,en,30,QT_vs_TQ,0.9986429214477539,0.7945210933685303,0.6628091335296631,0.3371908664703369
xlm-roberta-base,en,30,MT_vs_TM,0.380899578332901,0.294448584318161,0.930159330368042,0.06984066963195801
xlm-roberta-base,en,31,NQ_vs_QN,0.7351012825965881,0.5742856860160828,0.7298545837402344,0.2701454162597656
xlm-roberta-base,en,31,NM_vs_MN,0.30125224590301514,0.1911810040473938,0.9546718001365662,0.04532819986343384
xlm-roberta-base,en,31,NT_vs_TN,0.947905957698822,0.6257261633872986,0.6119635701179504,0.38803642988204956
xlm-roberta-base,en,31,QM_vs_MQ,0.8901336789131165,0.6709429621696472,0.6590709686279297,0.3409290313720703
xlm-roberta-base,en,31,QT_vs_TQ,1.0530492067337036,0.7899474501609802,0.5707563161849976,0.42924368381500244
xlm-roberta-base,en,31,MT_vs_TM,0.29418042302131653,0.16079235076904297,0.9611073136329651,0.03889268636703491
xlm-roberta-base,en,32,NQ_vs_QN,0.773037314414978,0.5955120921134949,0.7040077447891235,0.29599225521087646
xlm-roberta-base,en,32,NM_vs_MN,0.31177622079849243,0.1934758573770523,0.9514024257659912,0.04859757423400879
xlm-roberta-base,en,32,NT_vs_TN,0.9120602011680603,0.5883892774581909,0.6314965486526489,0.3685034513473511
xlm-roberta-base,en,32,QM_vs_MQ,0.9298523664474487,0.6831826567649841,0.6279127597808838,0.3720872402191162
xlm-roberta-base,en,32,QT_vs_TQ,1.0720199346542358,0.7822878956794739,0.5705095529556274,0.42949044704437256
xlm-roberta-base,en,32,MT_vs_TM,0.2515087425708771,0.1441141963005066,0.9699394702911377,0.030060529708862305
xlm-roberta-base,en,33,NQ_vs_QN,0.6385051012039185,0.7061887979507446,0.8003561496734619,0.19964385032653809
xlm-roberta-base,en,33,NM_vs_MN,0.15479373931884766,0.21987706422805786,0.9892062544822693,0.010793745517730713
xlm-roberta-base,en,33,NT_vs_TN,0.7101321220397949,0.6217576265335083,0.7510067224502563,0.24899327754974365
xlm-roberta-base,en,33,QM_vs_MQ,0.40620723366737366,0.5159512162208557,0.9237967729568481,0.07620322704315186
xlm-roberta-base,en,33,QT_vs_TQ,0.826659619808197,0.8043168187141418,0.7533370852470398,0.2466629147529602
xlm-roberta-base,en,33,MT_vs_TM,0.25696930289268494,0.2763192355632782,0.9740157127380371,0.02598428726196289
xlm-roberta-base,en,34,NQ_vs_QN,0.5648353099822998,0.5519566535949707,0.84115070104599,0.15884929895401
