model,ridge_alpha,heldout_language,method,operator,target_cosine,mse,n_test,mean_target_cosine,mean_mse,cells
BAAI/bge-m3,0.1,zh,additive,N,0.9028300046920776,0.2735157907009125,160.0,,,
BAAI/bge-m3,0.1,zh,linear,N,0.7979924903881706,0.6050641641478307,160.0,,,
BAAI/bge-m3,0.1,zh,affine,N,0.8136060833930969,0.5664290189743042,160.0,,,
BAAI/bge-m3,0.1,zh,additive,Q,0.9333924055099488,0.1895794123411178,160.0,,,
BAAI/bge-m3,0.1,zh,linear,Q,0.881676790466282,0.3424490355665955,160.0,,,
BAAI/bge-m3,0.1,zh,affine,Q,0.8730827569961548,0.3738929331302643,160.0,,,
BAAI/bge-m3,0.1,zh,additive,M,0.9775152206420898,0.0602398738265037,160.0,,,
BAAI/bge-m3,0.1,zh,linear,M,0.923334762360833,0.2030830391180171,160.0,,,
BAAI/bge-m3,0.1,zh,affine,M,0.927075982093811,0.1942205131053924,160.0,,,
BAAI/bge-m3,0.1,zh,additive,T,0.9541274309158324,0.1256109774112701,160.0,,,
BAAI/bge-m3,0.1,zh,linear,T,0.896230999404872,0.2849736156197834,160.0,,,
BAAI/bge-m3,0.1,zh,affine,T,0.8992587327957153,0.2846980690956116,160.0,,,
BAAI/bge-m3,0.1,ar,additive,N,0.7329573631286621,0.9800283312797546,160.0,,,
BAAI/bge-m3,0.1,ar,linear,N,0.3626406315517495,3.5411588583605806,160.0,,,
BAAI/bge-m3,0.1,ar,affine,N,0.2749253809452057,4.691714286804199,160.0,,,
BAAI/bge-m3,0.1,ar,additive,Q,0.7821540236473083,0.7636414766311646,160.0,,,
BAAI/bge-m3,0.1,ar,linear,Q,0.4357643618392523,2.5905199782865487,160.0,,,
BAAI/bge-m3,0.1,ar,affine,Q,0.4324458241462707,2.936979293823242,160.0,,,
BAAI/bge-m3,0.1,ar,additive,M,0.9402869939804076,0.1939722001552581,160.0,,,
BAAI/bge-m3,0.1,ar,linear,M,0.6315582018726613,1.4734459505652064,160.0,,,
BAAI/bge-m3,0.1,ar,affine,M,0.5192050933837891,2.3434574604034424,160.0,,,
BAAI/bge-m3,0.1,ar,additive,T,0.8160204887390137,0.6108875870704651,160.0,,,
BAAI/bge-m3,0.1,ar,linear,T,0.4704665939677562,2.540654338750929,160.0,,,
BAAI/bge-m3,0.1,ar,affine,T,0.4520302712917328,2.628859281539917,160.0,,,
BAAI/bge-m3,1.0,en,additive,N,0.8594987988471985,0.3837282061576843,160.0,,,
