model,ridge_alpha,heldout_language,method,pair,basis_rank,matrix_commutator_norm,closure_residual_ratio,random_subspace_null_mean,random_subspace_null_std,empirical_p_below_random_subspace,coef_N,coef_Q,coef_M,coef_T
bert-base-multilingual-cased,0.1,es,linear,MT_minus_TM,4,6.063116522128495,0.9997888097564614,0.9998729319642269,9.27237178413169e-05,0.15614617940199335,0.007784932728157819,0.009706965791879605,-0.005166648924873824,-0.003437992483215328
bert-base-multilingual-cased,0.1,es,affine,NQ_minus_QN,4,7.735251436688183,0.997225514398173,0.9998786866405605,8.051051287531607e-05,0.0033222591362126247,-0.05048374101570294,0.050857768445544835,0.0067980354095873085,-0.03639370574349292
bert-base-multilingual-cased,0.1,es,affine,NM_minus_MN,4,6.068008501505437,0.9993618205995949,0.9998769255115708,7.768491951024119e-05,0.0033222591362126247,0.009321644189404262,0.0006352291572117984,-0.0274938807018764,-0.009865386949429192
bert-base-multilingual-cased,0.1,es,affine,NT_minus_TN,4,6.399749857505424,0.9994543483392568,0.9998854690351417,8.156235289414815e-05,0.0033222591362126247,-0.004060968270950048,0.008225710545315266,-0.002466978887381459,-0.024258596678143292
bert-base-multilingual-cased,0.1,es,affine,QM_minus_MQ,4,6.646840753725606,0.9978944396643419,0.9998757503878525,8.608833561713e-05,0.0033222591362126247,0.022441009947016147,-0.045631900300297845,-0.01321276785509469,0.0031041723764306424
bert-base-multilingual-cased,0.1,es,affine,QT_minus_TQ,4,7.451482581626712,0.9968515885659397,0.9998784217838104,8.16361352778458e-05,0.0033222591362126247,0.065321735647594,-0.054107036534856726,-0.009847680948669174,0.011376895676696296
bert-base-multilingual-cased,0.1,es,affine,MT_minus_TM,4,6.090067686088909,0.999837807158784,0.9998720028130962,9.003455646195937e-05,0.28903654485049834,0.01064367377535078,0.006776657792878996,-0.0006612485595000616,-0.00886493222200669
bert-base-multilingual-cased,0.1,fr,linear,NQ_minus_QN,4,7.589997805074309,0.996327641295936,0.9998770416033089,8.646180873869519e-05,0.0033222591362126247,-0.012075756175935167,0.06634960413059182,-0.028784321103847425,-0.06406840775118922
bert-base-multilingual-cased,0.1,fr,linear,NM_minus_MN,4,6.052084690285594,0.9975728769223293,0.9998779926275544,8.529035780841804e-05,0.0033222591362126247,0.05187589923260832,-0.003152457271960965,-0.034685003066459746,-0.03662353152306006
bert-base-multilingual-cased,0.1,fr,linear,NT_minus_TN,4,6.157395564956273,0.9993577324927504,0.9998786413320939,8.464271067031363e-05,0.0033222591362126247,-0.007676948845277272,0.015599773289472388,-0.015202100167074094,-0.018433410230481596
bert-base-multilingual-cased,0.1,fr,linear,QM_minus_MQ,4,6.858579738139158,0.9984971345072806,0.9998735420981738,8.623293656004521e-05,0.0033222591362126247,0.0187239361116493,-0.04227970417494087,-0.003397698849299723,0.007387920063308386
bert-base-multilingual-cased,0.1,fr,linear,QT_minus_TQ,4,7.356898308695115,0.9968714420380907,0.9998753781093419,9.644092611355811e-05,0.0033222591362126247,0.048933546894766804,-0.06093436685308734,0.021446066421499602,0.01841593659826698
bert-base-multilingual-cased,0.1,fr,linear,MT_minus_TM,4,6.121732725277501,0.9997735454145527,0.9998808295097071,7.947780493019202e-05,0.10299003322259136,0.007051414547665386,0.002152868516795859,-0.0007981387177055677,0.0073253738030073165
bert-base-multilingual-cased,0.1,fr,affine,NQ_minus_QN,4,7.535952609570979,0.9966856043749733,0.999879028137335,8.93886731549329e-05,0.0033222591362126247,-0.004875784446767484,0.06270492972714357,-0.02358156020725413,-0.0672132126327453
bert-base-multilingual-cased,0.1,fr,affine,NM_minus_MN,4,6.157207468509452,0.9977026456711348,0.9998816009277282,8.52180749456846e-05,0.0033222591362126247,0.051981737778964254,-0.0035371416494988997,-0.036121309819313475,-0.030782792111756975
bert-base-multilingual-cased,0.1,fr,affine,NT_minus_TN,4,6.172276381067122,0.9992141347428282,0.9998868402275546,8.714799039470867e-05,0.0033222591362126247,-0.009889196785440809,0.015389873569304092,-0.007770455354695638,-0.024206527141348303
bert-base-multilingual-cased,0.1,fr,affine,QM_minus_MQ,4,6.82172004045039,0.9981141358827894,0.9998780511341151,8.733473510201833e-05,0.0033222591362126247,0.021390107817032208,-0.04769234645427638,-0.009623572337051849,0.01428015133464875
bert-base-multilingual-cased,0.1,fr,affine,QT_minus_TQ,4,7.340172881908877,0.997119476719338,0.9998780286011311,8.061980600946799e-05,0.0033222591362126247,0.050360977452700746,-0.05853079631613607,0.02069080422051144,0.012852400056817957
