model,ridge_alpha,heldout_language,method,triple,basis_rank,relative_jacobi_operator_norm,jacobi_coeff_norm,jacobi_coef_N,jacobi_coef_Q,jacobi_coef_M,jacobi_coef_T,mean_relative_jacobi_operator_norm,mean_jacobi_coeff_norm,cells
BAAI/bge-m3,1.0,en,linear,NQM,4.0,0.0488893634901028,0.0025809315537768,-0.0007290026870465,-0.001015429568035,0.0021240954599904,0.000766083570355,,,
BAAI/bge-m3,1.0,en,linear,NQT,4.0,0.0805831811574958,0.0081121298136283,-0.002185629042963,-0.0048936322052882,-0.0005115898373035,0.0060679745778511,,,
BAAI/bge-m3,1.0,en,linear,NMT,4.0,0.0605526481614196,0.0059111399648852,0.0002902357510157,-0.003887349835996,-0.00267935454824,0.0035449836883549,,,
BAAI/bge-m3,1.0,en,linear,QMT,4.0,0.0643478023247034,0.004684717869129,-0.0005944950920707,-0.0039763031523658,-0.0007715087356409,0.0022774864676119,,,
BAAI/bge-m3,1.0,en,affine,NQM,4.0,0.0720212137393545,0.0040705982397912,1.866376152211569e-05,-0.0022802740198398,0.003342219716672,0.0004464744715322,,,
BAAI/bge-m3,1.0,en,affine,NQT,4.0,0.1088522143903774,0.0118841912168049,-0.0018356724726074,-0.008581194074825,0.0002987507156697,0.0080086305765074,,,
BAAI/bge-m3,1.0,en,affine,NMT,4.0,0.0337964508592719,0.0032071006988958,-0.0014165238485907,-0.001267838942486,-0.0018634104824376,0.0017886421858744,,,
BAAI/bge-m3,1.0,en,affine,QMT,4.0,0.0680705549359769,0.0052945065469414,-0.0006688624214222,-0.004634278923242,1.6364933918017513e-05,0.0024713586723395,,,
BAAI/bge-m3,1.0,es,linear,NQM,4.0,0.0567445021314735,0.0027393852712253,0.000243981801837,0.0022961525056453,0.0010927157763742,-0.0009891210479308,,,
BAAI/bge-m3,1.0,es,linear,NQT,4.0,0.1059537467181034,0.0109031629478782,0.0025144384890244,-0.0036268965839349,0.0010052904625978,0.0099192526738736,,,
BAAI/bge-m3,1.0,es,linear,NMT,4.0,0.0847562614597509,0.0065342573939361,-0.0011751705444111,0.0030446063470744,-0.0055873986423997,-0.0009093087946458,,,
BAAI/bge-m3,1.0,es,linear,QMT,4.0,0.0617576362043898,0.0030652353964547,-0.0001769006745705,0.000848643192733,-0.0029108927949434,0.0004133788272154,,,
BAAI/bge-m3,1.0,es,affine,NQM,4.0,0.0577208399413415,0.0028087514526233,0.0005955634492837,0.0026025822254443,0.0002836741591871,-0.0008249143177939,,,
BAAI/bge-m3,1.0,es,affine,NQT,4.0,0.0893409953409937,0.0103235498855156,0.0006838500884333,-0.0034557130871884,0.0010597845106451,0.0096458765877089,,,
BAAI/bge-m3,1.0,es,affine,NMT,4.0,0.0856063984796929,0.0066750861289213,-0.0015425185281717,0.0036358056900128,-0.0051852267088174,-0.0014393583227956,,,
BAAI/bge-m3,1.0,es,affine,QMT,4.0,0.0615590371420012,0.0033091117645903,-0.0004383267693924,0.0011122291476709,-0.0028649479863268,0.0011459099757387,,,
BAAI/bge-m3,1.0,fr,linear,NQM,4.0,0.030312533425948,0.0016259300022272,-0.000459730436609,0.0008606083648896,0.0007021923835244,0.0010947946823948,,,
BAAI/bge-m3,1.0,fr,linear,NQT,4.0,0.0764274618002128,0.0092015456111754,-0.0045339007047366,0.0005685072564419,-0.0016356843587428,0.0078175138127199,,,
BAAI/bge-m3,1.0,fr,linear,NMT,4.0,0.0609325203275935,0.0069522990029242,0.0013663949499007,-0.0020879164514171,-0.0061296298244652,0.0021297111010358,,,
BAAI/bge-m3,1.0,fr,linear,QMT,4.0,0.0345046255121434,0.0022173346103317,-0.0008752471605322,0.0016877753909369,-0.0011357382926058,-0.0001096719773319,,,
BAAI/bge-m3,1.0,fr,affine,NQM,4.0,0.0313123416600523,0.0019558609969138,-0.0011301669843495,0.0007167829559235,-0.0004143670010913,0.0013647846017739,,,
BAAI/bge-m3,1.0,fr,affine,NQT,4.0,0.0840474539354802,0.0106825643732412,-0.0069665948341954,-0.0007629142573756,0.001890215369196,0.0078376517974806,,,
BAAI/bge-m3,1.0,fr,affine,NMT,4.0,0.0588892374735504,0.0064960107180151,0.0036035371257139,-0.0022388925096083,-0.0049152398561412,-0.0002011291107449,,,
BAAI/bge-m3,1.0,fr,affine,QMT,4.0,0.036850702042895,0.002427254212403,-0.0012981040589157,0.0019419252719282,-0.0006302921297295,-0.0001953123992531,,,
BAAI/bge-m3,1.0,de,linear,NQM,4.0,0.0459835473572875,0.0023129481490068,0.0003054648642919,-0.0013259690992091,0.0017349063899543,-0.0006988033505324,,,
BAAI/bge-m3,1.0,de,linear,NQT,4.0,0.1229139720200314,0.0094291628394377,-0.0036127185607365,0.0033923595342655,-0.0077261935957086,0.0021575925856036,,,
BAAI/bge-m3,1.0,de,linear,NMT,4.0,0.0411731481481174,0.0031245040096958,-0.0021092549106342,0.0011174564241,0.001706642734127,0.0010734201166642,,,
BAAI/bge-m3,1.0,de,linear,QMT,4.0,0.0770110306140207,0.0044942260176454,-0.0005480373725514,0.0014384270072886,-1.2691857205985452e-05,-0.0042223795657699,,,
BAAI/bge-m3,1.0,de,affine,NQM,4.0,0.0408449317956415,0.0019382262775412,0.0003003837249779,-0.0011564106670609,0.0014378979804123,-0.0005115217373226,,,
BAAI/bge-m3,1.0,de,affine,NQT,4.0,0.0968918871844985,0.0068695934267411,-0.0037398172085062,0.002132484140714,-0.0047719984723521,0.0024260303100242,,,
BAAI/bge-m3,1.0,de,affine,NMT,4.0,0.0367266971407151,0.0027168786009698,-0.0014657008019949,0.0008028195536861,-0.0002382504747821,0.0021288184438614,,,
BAAI/bge-m3,1.0,de,affine,QMT,4.0,0.085978373785278,0.0048253826492528,-0.0011673032063564,0.0018177812571578,0.0013812062185886,-0.0040877452977158,,,
BAAI/bge-m3,1.0,ru,linear,NQM,4.0,0.0967505388018939,0.0070578731018622,-0.0023051900634796,-0.0004614464018553,0.0066395959582206,0.0004500046922198,,,
BAAI/bge-m3,1.0,ru,linear,NQT,4.0,0.0998599030546864,0.0112220496714683,-0.0036845712388,0.0101729889062901,0.0010815635425632,0.0027746802754561,,,
BAAI/bge-m3,1.0,ru,linear,NMT,4.0,0.1089552020950999,0.0122315676746579,-0.0001150812124727,0.0006655981390763,-0.0121974124116907,-0.0006149094816813,,,
BAAI/bge-m3,1.0,ru,linear,QMT,4.0,0.0829124812029466,0.0074492033094715,-0.0002725502916738,0.0046829746299766,0.0032948654171666,-0.0047570954144418,,,
BAAI/bge-m3,1.0,ru,affine,NQM,4.0,0.1230449048225811,0.0094244634150835,-0.0035172993736277,-0.0011354532036614,0.008518683085593,0.0016099379764612,,,
BAAI/bge-m3,1.0,ru,affine,NQT,4.0,0.0991885606367119,0.0113115096087618,-0.0043217424758659,0.0086247962446596,-0.0025612761868409,0.0053221748969978,,,
BAAI/bge-m3,1.0,ru,affine,NMT,4.0,0.1262441360325222,0.0142601777105535,0.0009850768638453,0.0010840974911671,-0.0139988753952346,-0.0022887796327355,,,
BAAI/bge-m3,1.0,ru,affine,QMT,4.0,0.0820460591379121,0.0073393192850733,-5.4225744898951525e-05,0.0045287355762879,0.0032505997757007,-0.0047735544738818,,,
BAAI/bge-m3,1.0,zh,linear,NQM,4.0,0.0523891740555977,0.0046663569161392,-0.0023613956536391,0.0010128288583285,0.0038951322459843,-2.8634346592683844e-05,,,
BAAI/bge-m3,1.0,zh,linear,NQT,4.0,0.0822304001898088,0.0087314224902212,-0.0005542227646573,-0.0041093943174283,0.0007385747547003,0.0076483960086729,,,
BAAI/bge-m3,1.0,zh,linear,NMT,4.0,0.0489198144436323,0.0046008263534923,-0.0005793050390067,-0.0005696956450022,-0.0035580375318144,0.0028013969017324,,,
