model,ridge_alpha,heldout_language,method,pair,basis_rank,matrix_commutator_norm,closure_residual_ratio,random_subspace_null_mean,random_subspace_null_std,empirical_p_below_random_subspace,coef_N,coef_Q,coef_M,coef_T,mean_closure_residual_ratio,mean_matrix_commutator_norm,mean_random_subspace_null,mean_empirical_p,cells
BAAI/bge-m3,0.1,en,affine,QT_minus_TQ,4.0,7.739080939432059,0.9948156345115088,0.9998820811778988,8.832453015838989e-05,0.0033222591362126,-0.0171824572003796,0.0427634704577466,-0.009922789300678,0.0655594216971157,,,,,
BAAI/bge-m3,0.1,en,affine,MT_minus_TM,4.0,7.718974681292804,0.9976810092192112,0.9998807749036148,8.861088527890924e-05,0.0033222591362126,0.0178916351497632,0.0119914480315759,0.0015147767466467,-0.0646317858923452,,,,,
BAAI/bge-m3,0.1,es,linear,NQ_minus_QN,4.0,11.774191973963363,0.994520319860422,0.9998782034705151,8.24934543153071e-05,0.0033222591362126,-0.1152117269067936,0.0457523047418261,0.0408232474020063,0.0145087841911241,,,,,
BAAI/bge-m3,0.1,es,linear,NM_minus_MN,4.0,10.121901963207636,0.999288490621482,0.9998774802815172,8.89397303712607e-05,0.0033222591362126,-0.0234845803380867,0.0323497125037218,0.0222674544435785,-0.0054405880985411,,,,,
BAAI/bge-m3,0.1,es,linear,NT_minus_TN,4.0,13.100195085630515,0.9947314640520296,0.999877876708747,9.37931451235814e-05,0.0033222591362126,-0.0045393678370945,-0.0630607325742005,0.0210346593817855,0.1554148108753152,,,,,
BAAI/bge-m3,0.1,es,linear,QM_minus_MQ,4.0,7.771840141320348,0.9994163966739452,0.999877509619123,8.622886886199535e-05,0.0066445182724252,0.0006505431571002,-0.0177740221054176,0.0284435166152976,-0.007252177706887,,,,,
BAAI/bge-m3,0.1,es,linear,QT_minus_TQ,4.0,8.93248919234339,0.9951815275882524,0.9998895496278584,7.068519717605628e-05,0.0033222591362126,0.0133952174032846,-0.0631976145059976,-0.0098763892339116,0.0934524769229614,,,,,
BAAI/bge-m3,0.1,es,linear,MT_minus_TM,4.0,7.679423068345022,0.99970839272367,0.9998873050244618,8.288566384031608e-05,0.0431893687707641,0.004043250294627,-0.0017503916671017,0.0219103719858445,0.0063485955792806,,,,,
BAAI/bge-m3,0.1,es,affine,NQ_minus_QN,4.0,11.66951832110126,0.9942299988077204,0.9998801548771596,8.769742314477148e-05,0.0033222591362126,-0.1109629199588052,0.0615836286369822,0.0478297627865545,0.0085663130101778,,,,,
BAAI/bge-m3,0.1,es,affine,NM_minus_MN,4.0,10.18172003577824,0.9992233184741384,0.999871812722756,9.084135150470287e-05,0.0033222591362126,-0.0203636182517233,0.0331932567773858,0.0295652846921182,-0.0063194567406977,,,,,
BAAI/bge-m3,0.1,es,affine,NT_minus_TN,4.0,13.144944016171443,0.9941046509602652,0.9998734752361896,9.209263866207173e-05,0.0033222591362126,-0.0109067784039153,-0.0639681378908489,0.0175370988545602,0.1675369166823697,,,,,
BAAI/bge-m3,0.1,es,affine,QM_minus_MQ,4.0,7.75889552105822,0.998975106335248,0.99987443185861,8.981689487595114e-05,0.0033222591362126,-0.0009280207796426,-0.0182404632253492,0.0448212765278723,-0.0061730759921991,,,,,
BAAI/bge-m3,0.1,es,affine,QT_minus_TQ,4.0,8.844421578475552,0.9941808232994614,0.9998733104607505,8.935681678997377e-05,0.0033222591362126,0.018218215208865,-0.0651315023963772,-0.0146803639223893,0.1014998621529259,,,,,
BAAI/bge-m3,0.1,es,affine,MT_minus_TM,4.0,7.693395722863655,0.9998855110189298,0.9998730168776266,8.944812941694441e-05,0.4784053156146179,0.0092207694726887,-0.0047597884311012,0.0075564448195021,-0.0003130673497315,,,,,
BAAI/bge-m3,0.1,fr,linear,NQ_minus_QN,4.0,10.935753395329604,0.9935109009276408,0.9998757236888242,9.23237144841106e-05,0.0033222591362126,-0.0972998776342039,0.1107105747602713,0.0199654155234249,0.0007975603708151,,,,,
BAAI/bge-m3,0.1,fr,linear,NM_minus_MN,4.0,9.400780196200726,0.998601596749132,0.9998793761850368,8.279173608688589e-05,0.0033222591362126,-0.0389275934581699,0.0179399930785696,0.0238404029186758,0.034122306183616,,,,,
BAAI/bge-m3,0.1,fr,linear,NT_minus_TN,4.0,12.809363896451467,0.9932501009332264,0.9998867369941852,7.860988676545343e-05,0.0033222591362126,-0.0950582315999639,0.0144739635210131,0.0010196299461857,0.1546549132153447,,,,,
BAAI/bge-m3,0.1,fr,linear,QM_minus_MQ,4.0,6.781765556220947,0.9989580792078402,0.9998602974598938,0.0001119822608529,0.0033222591362126,0.0154772687634089,-0.0303731613425671,0.017643966415127,-0.0065891884316412,,,,,
BAAI/bge-m3,0.1,fr,linear,QT_minus_TQ,4.0,8.65123456375109,0.9964791862804756,0.9998769277241348,8.835037413949892e-05,0.0033222591362126,0.026257623420631,-0.0674097657144581,-0.0100575088353939,0.0616123528861571,,,,,
BAAI/bge-m3,0.1,fr,linear,MT_minus_TM,4.0,7.313181025745191,0.99641389661199,0.9998638023272258,9.966444878800204e-05,0.0033222591362126,0.0135161316854302,0.0288184420071382,0.0304675722959519,-0.0729761865718331,,,,,
BAAI/bge-m3,0.1,fr,affine,NQ_minus_QN,4.0,10.727684698645035,0.9932663908004424,0.999881278016569,9.291885242051514e-05,0.0033222591362126,-0.0916503067483166,0.1182658637907194,0.0132281524414343,-0.0021338629657797,,,,,
BAAI/bge-m3,0.1,fr,affine,NM_minus_MN,4.0,9.529805978831249,0.9988880632543192,0.999876385697098,8.341259335288025e-05,0.0033222591362126,-0.0331621806762203,0.013338608965189,0.0077544463252764,0.0383700255569193,,,,,
BAAI/bge-m3,0.1,fr,affine,NT_minus_TN,4.0,12.658696282659198,0.9908891515767873,0.9998722566602608,8.432030389032431e-05,0.0033222591362126,-0.112700441632602,0.0114733475361762,0.0013823708840208,0.1747584621472765,,,,,
BAAI/bge-m3,0.1,fr,affine,QM_minus_MQ,4.0,6.809129954642041,0.998967468699609,0.9998709197587076,9.14119639439158e-05,0.0033222591362126,0.019282859095108,-0.0245969984258958,0.022417785278881,-0.0105056091246784,,,,,
BAAI/bge-m3,0.1,fr,affine,QT_minus_TQ,4.0,8.579448443042915,0.9960019182392644,0.9998791625495712,8.120747624978208e-05,0.0033222591362126,0.0297617636721674,-0.0689600126611998,-0.0189771989963085,0.0648966931707356,,,,,
BAAI/bge-m3,0.1,fr,affine,MT_minus_TM,4.0,7.502758766285797,0.9956737833500036,0.9998693368988798,9.736183607580828e-05,0.0033222591362126,0.0144564039223041,0.0329917010426184,0.0227190234559583,-0.0833675116906823,,,,,
BAAI/bge-m3,0.1,de,linear,NQ_minus_QN,4.0,10.718280639040865,0.999399886900672,0.9998777453344884,8.873051602644826e-05,0.0033222591362126,-0.013613451258192,0.0330270915310368,0.0315829709694878,-0.0202620401006593,,,,,
BAAI/bge-m3,0.1,de,linear,NM_minus_MN,4.0,9.251157811856986,0.9986770088783814,0.9998800411086536,8.825298081733122e-05,0.0033222591362126,-0.0403122079639225,0.0251407259289853,0.0179708923154311,0.0256376471053803,,,,,
BAAI/bge-m3,0.1,de,linear,NT_minus_TN,4.0,12.250894130558738,0.9950968608939064,0.9998640347359732,9.521846820541504e-05,0.0033222591362126,-0.0429459997046515,-0.0247013447908509,-0.0669668245747234,0.1441726637162967,,,,,
BAAI/bge-m3,0.1,de,linear,QM_minus_MQ,4.0,7.474013641551783,0.9983298028249508,0.9998802687446076,8.437151616915026e-05,0.0033222591362126,-0.0069145289273362,0.0294017903256692,-0.0546048083460019,0.0028795816192342,,,,,
BAAI/bge-m3,0.1,de,linear,QT_minus_TQ,4.0,8.586637035396418,0.9982646618522965,0.999879330131057,8.719761230847935e-05,0.0033222591362126,0.0082065337779492,-0.0282058411273552,-0.0076244729811672,0.0572214594891736,,,,,
BAAI/bge-m3,0.1,de,linear,MT_minus_TM,4.0,6.873481629968714,0.99831249871384,0.9998736966980952,8.916961800988544e-05,0.0033222591362126,0.0251945764776078,-0.0082067184948838,0.006511237555664,-0.041488079378516,,,,,
BAAI/bge-m3,0.1,de,affine,NQ_minus_QN,4.0,10.61142624598384,0.999442837047115,0.999877854734744,8.018087183380926e-05,0.0033222591362126,-0.0164841659841151,0.0305573795894435,0.0314749657408153,-0.0132375855632572,,,,,
BAAI/bge-m3,0.1,de,affine,NM_minus_MN,4.0,9.287730213856678,0.9986289983699856,0.9998689524268188,9.241439801339416e-05,0.0033222591362126,-0.0443280804097278,0.0199112248612201,0.0179197807132899,0.0274165977413017,,,,,
BAAI/bge-m3,0.1,de,affine,NT_minus_TN,4.0,12.157828874469866,0.9948196199835516,0.9998790940487844,8.22207293841034e-05,0.0033222591362126,-0.0472897084357446,-0.0276937475319291,-0.0528480981797919,0.1503920968326708,,,,,
BAAI/bge-m3,0.1,de,affine,QM_minus_MQ,4.0,7.413319257024445,0.9986007761905246,0.999882529552505,8.345280147566524e-05,0.0033222591362126,0.0014361529592865,0.0202722780184171,-0.0541070250140999,0.0046744206266002,,,,,
BAAI/bge-m3,0.1,de,affine,QT_minus_TQ,4.0,8.403638581299546,0.99862831473911,0.999878199763301,9.09047420399134e-05,0.0033222591362126,0.0170537486226272,-0.0255509524580195,-0.0162775380540401,0.0434583704903455,,,,,
BAAI/bge-m3,0.1,de,affine,MT_minus_TM,4.0,6.888259505424993,0.9988122647691948,0.9998747570531836,8.878861932862952e-05,0.0033222591362126,0.0156528695887499,-0.0052755287918336,0.0163273683928129,-0.0367086604188843,,,,,
BAAI/bge-m3,0.1,ru,linear,NQ_minus_QN,4.0,11.014725558738215,0.99646603509179,0.9998733253305278,8.438641443144581e-05,0.0033222591362126,-0.0497050468270163,0.0958415737829566,0.0272894688488728,-0.0108549856824571,,,,,
BAAI/bge-m3,0.1,ru,linear,NM_minus_MN,4.0,9.378031951269875,0.9978193081261798,0.9998850779233586,7.410359960763105e-05,0.0033222591362126,-0.0080532247732478,-0.0035008268853304,0.084154326938971,-0.000504209019725,,,,,
BAAI/bge-m3,0.1,ru,linear,NT_minus_TN,4.0,12.198584519194828,0.9867924612403768,0.9998617619718246,9.959927728341016e-05,0.0033222591362126,-0.0577287476765991,-0.0533260821889027,0.038533331547015,0.2324145658792996,,,,,
BAAI/bge-m3,0.1,ru,linear,QM_minus_MQ,4.0,8.284613539428612,0.9992098816077024,0.9998834270767264,8.524345845444071e-05,0.0033222591362126,0.0051887432373807,0.0038741432053814,-0.0443847566478465,0.0079748941506531,,,,,
BAAI/bge-m3,0.1,ru,linear,QT_minus_TQ,4.0,8.790561894419135,0.9909885490327256,0.9998828846819744,7.8366271948284e-05,0.0033222591362126,0.0063016403586933,-0.1231777721507102,-0.0065232362608575,0.0968259910709543,,,,,
BAAI/bge-m3,0.1,ru,linear,MT_minus_TM,4.0,7.819283625871969,0.9990401987095818,0.9998771548034354,8.468729954588211e-05,0.0033222591362126,0.0065394813693341,-0.004511698001303,0.0455993684803045,-0.0044458019325915,,,,,
BAAI/bge-m3,0.1,ru,affine,NQ_minus_QN,4.0,10.94318688048655,0.996100052748588,0.9998756914108452,8.74155823084385e-05,0.0033222591362126,-0.0637706610492264,0.0903744905588603,0.0372655950862586,-0.0043078325026883,,,,,
BAAI/bge-m3,0.1,ru,affine,NM_minus_MN,4.0,9.534098307646802,0.9972514259855588,0.999879092180145,8.294808301941805e-05,0.0033222591362126,0.007371505180016,-0.0135134914814838,0.0950514048858149,-0.014212742804565,,,,,
BAAI/bge-m3,0.1,ru,affine,NT_minus_TN,4.0,12.246531864731663,0.9872970120446116,0.9998836141906464,8.289644463381871e-05,0.0033222591362126,-0.0762062299365677,-0.0449495932448802,0.0368842233448456,0.2246423107688661,,,,,
BAAI/bge-m3,0.1,ru,affine,QM_minus_MQ,4.0,8.25822377166053,0.999272502317465,0.9998773242734148,8.452272104462067e-05,0.0033222591362126,0.0041112730585605,0.0019959679963172,-0.0399245318204461,0.015025440282268,,,,,
