model,ridge_alpha,heldout_language,method,pair,basis_rank,matrix_commutator_norm,closure_residual_ratio,random_subspace_null_mean,random_subspace_null_std,empirical_p_below_random_subspace,coef_N,coef_Q,coef_M,coef_T
bert-base-multilingual-cased,1.0,en,affine,QT_minus_TQ,4,6.39455558575313,0.9976223707513105,0.9998828272454786,8.479478492706904e-05,0.0033222591362126247,0.0630690697933234,-0.03356025015847722,0.005160517743658174,-0.00512371197850109
bert-base-multilingual-cased,1.0,en,affine,MT_minus_TM,4,5.100429498928077,0.9969234454558964,0.9998802961283585,8.51422190628213e-05,0.0033222591362126247,0.014949785703570882,0.026273392032531144,0.028601402738275637,-0.05700207361670208
bert-base-multilingual-cased,1.0,es,linear,NQ_minus_QN,4,6.859656567411185,0.997195575775256,0.9998835880753495,8.172403697000358e-05,0.0033222591362126247,-0.04134392228153365,0.04304021452599982,-0.0018740530842998914,-0.042774351810945396
bert-base-multilingual-cased,1.0,es,linear,NM_minus_MN,4,5.107395509054173,0.996827036938169,0.9998816769096796,8.2913705858391e-05,0.0033222591362126247,0.046784081624961796,-0.00019287735992125354,-0.04969476717088986,-0.01967139444002039
bert-base-multilingual-cased,1.0,es,linear,NT_minus_TN,4,5.4468973898711255,0.9992215534592492,0.9998767503391875,9.019934884032367e-05,0.0033222591362126247,0.015559283672156884,0.009011078136440101,-0.012167815563099735,-0.030978509227571924
bert-base-multilingual-cased,1.0,es,linear,QM_minus_MQ,4,5.763402135075373,0.9986672683127855,0.999882236362799,8.129859453657947e-05,0.0033222591362126247,0.027712091772780445,-0.031301358900197314,-0.011975871014537445,4.2045789637806526e-05
bert-base-multilingual-cased,1.0,es,linear,QT_minus_TQ,4,6.525169897643525,0.9959650150063479,0.9998756040608898,9.101866145334083e-05,0.0033222591362126247,0.07241599008390216,-0.05028450805625938,-0.004029541999510569,0.014631054940803526
bert-base-multilingual-cased,1.0,es,linear,MT_minus_TM,4,5.187638049555664,0.9991975988047336,0.999872907970803,9.076330477450301e-05,0.0033222591362126247,0.004688803411234059,0.012771337268260742,0.02039948772119393,-0.02475073792236883
bert-base-multilingual-cased,1.0,es,affine,NQ_minus_QN,4,6.716176127462569,0.9971301342047323,0.9998792529871469,7.894992895032814e-05,0.0033222591362126247,-0.04217114356257539,0.04869572207957609,0.0032698256845388224,-0.0422574697188053
bert-base-multilingual-cased,1.0,es,affine,NM_minus_MN,4,5.127558727329826,0.9969124368227558,0.999879134302544,7.599829510864404e-05,0.0033222591362126247,0.0416990651354067,0.0002604764651928347,-0.05325178511144404,-0.015218961271005079
bert-base-multilingual-cased,1.0,es,affine,NT_minus_TN,4,5.427014204791485,0.9988430138037439,0.9998848003831708,8.135474131990778e-05,0.0033222591362126247,0.019617951984137003,0.009632145045254146,-0.0026105625004123395,-0.04149605330113924
