model,train_size,repeat,acc,f1
sentence-transformers/all-mpnet-base-v2,200,16,0.734,0.7200257811405353
sentence-transformers/all-mpnet-base-v2,200,17,0.736,0.7114960184692395
sentence-transformers/all-mpnet-base-v2,200,18,0.732,0.7182355896793492
sentence-transformers/all-mpnet-base-v2,200,19,0.824,0.8108323809060624
sentence-transformers/all-mpnet-base-v2,300,0,0.774,0.7658539070467758
sentence-transformers/all-mpnet-base-v2,300,1,0.758,0.7436818798417021
sentence-transformers/all-mpnet-base-v2,300,2,0.754,0.7456029474059286
sentence-transformers/all-mpnet-base-v2,300,3,0.77,0.7584487674103249
sentence-transformers/all-mpnet-base-v2,300,4,0.76,0.7495982658395538
sentence-transformers/all-mpnet-base-v2,300,5,0.772,0.7424161907159765
sentence-transformers/all-mpnet-base-v2,300,6,0.798,0.7912852967915378
sentence-transformers/all-mpnet-base-v2,300,7,0.78,0.7676332444640328
sentence-transformers/all-mpnet-base-v2,300,8,0.766,0.7513028949519642
sentence-transformers/all-mpnet-base-v2,300,9,0.75,0.7414545846506337
sentence-transformers/all-mpnet-base-v2,300,10,0.748,0.7394609190689692
sentence-transformers/all-mpnet-base-v2,300,11,0.774,0.7657051616834983
sentence-transformers/all-mpnet-base-v2,300,12,0.742,0.7319840743889369
sentence-transformers/all-mpnet-base-v2,300,13,0.768,0.7575042048811702
sentence-transformers/all-mpnet-base-v2,300,14,0.718,0.7009911816578482
sentence-transformers/all-mpnet-base-v2,300,15,0.788,0.7803812837635098
sentence-transformers/all-mpnet-base-v2,300,16,0.776,0.7551009419824449
sentence-transformers/all-mpnet-base-v2,300,17,0.748,0.7324151587984644
sentence-transformers/all-mpnet-base-v2,300,18,0.736,0.7093687435130734
sentence-transformers/all-mpnet-base-v2,300,19,0.756,0.7449601435308708
sentence-transformers/all-mpnet-base-v2,500,0,0.752,0.7420568653415152
sentence-transformers/all-mpnet-base-v2,500,1,0.752,0.7420568653415152
sentence-transformers/all-mpnet-base-v2,500,2,0.752,0.7420568653415152
sentence-transformers/all-mpnet-base-v2,500,3,0.752,0.7420568653415152
sentence-transformers/all-mpnet-base-v2,500,4,0.752,0.7420568653415152
sentence-transformers/all-mpnet-base-v2,500,5,0.752,0.7420568653415152
sentence-transformers/all-mpnet-base-v2,500,6,0.752,0.7420568653415152
sentence-transformers/all-mpnet-base-v2,500,7,0.752,0.7420568653415152
sentence-transformers/all-mpnet-base-v2,500,8,0.752,0.7420568653415152
sentence-transformers/all-mpnet-base-v2,500,9,0.752,0.7420568653415152
sentence-transformers/all-mpnet-base-v2,500,10,0.752,0.7420568653415152
sentence-transformers/all-mpnet-base-v2,500,11,0.752,0.7420568653415152
sentence-transformers/all-mpnet-base-v2,500,12,0.752,0.7420568653415152
sentence-transformers/all-mpnet-base-v2,500,13,0.752,0.7420568653415152
sentence-transformers/all-mpnet-base-v2,500,14,0.752,0.7420568653415152
sentence-transformers/all-mpnet-base-v2,500,15,0.752,0.7420568653415152
sentence-transformers/all-mpnet-base-v2,500,16,0.752,0.7420568653415152
sentence-transformers/all-mpnet-base-v2,500,17,0.752,0.7420568653415152
sentence-transformers/all-mpnet-base-v2,500,18,0.752,0.7420568653415152
sentence-transformers/all-mpnet-base-v2,500,19,0.752,0.7420568653415152
microsoft/deberta-v3-base,25,0,0.348,0.24932011821507202
microsoft/deberta-v3-base,25,1,0.42,0.3411079261793086
microsoft/deberta-v3-base,25,2,0.402,0.2666730133343488
microsoft/deberta-v3-base,25,3,0.354,0.300657727237999
microsoft/deberta-v3-base,25,5,0.548,0.4908585270513157
microsoft/deberta-v3-base,25,6,0.404,0.30426479307046195
microsoft/deberta-v3-base,25,7,0.508,0.45379201441003614
microsoft/deberta-v3-base,25,8,0.47,0.44732313727127826
microsoft/deberta-v3-base,25,9,0.556,0.4968025193962814
microsoft/deberta-v3-base,25,10,0.512,0.4013771708960897
microsoft/deberta-v3-base,25,11,0.43,0.35834413347435257
microsoft/deberta-v3-base,25,12,0.348,0.27302668123439655
microsoft/deberta-v3-base,25,13,0.392,0.24782153838615234
microsoft/deberta-v3-base,25,14,0.564,0.49924646521638777
microsoft/deberta-v3-base,25,15,0.482,0.4538627732872088
microsoft/deberta-v3-base,25,16,0.45,0.413711988682601
microsoft/deberta-v3-base,25,17,0.41,0.2898558219195608
microsoft/deberta-v3-base,25,18,0.452,0.39607074332613623
microsoft/deberta-v3-base,25,19,0.47,0.4273175786108278
microsoft/deberta-v3-base,50,0,0.584,0.5358012129854921
microsoft/deberta-v3-base,50,1,0.384,0.3102604924828866
microsoft/deberta-v3-base,50,2,0.606,0.5814872423936808
microsoft/deberta-v3-base,50,3,0.592,0.5603177740721224
microsoft/deberta-v3-base,50,4,0.644,0.6406491936285814
microsoft/deberta-v3-base,50,5,0.652,0.6327979365766258
microsoft/deberta-v3-base,50,6,0.632,0.5757764275176129
microsoft/deberta-v3-base,50,7,0.658,0.6360574417144221
microsoft/deberta-v3-base,50,8,0.636,0.609291441478488
microsoft/deberta-v3-base,50,9,0.618,0.6240477977423597
microsoft/deberta-v3-base,50,10,0.644,0.6333836217779879
microsoft/deberta-v3-base,50,11,0.62,0.5905065410983396
microsoft/deberta-v3-base,50,12,0.532,0.5220613738226231
microsoft/deberta-v3-base,50,13,0.678,0.6524745340757792
microsoft/deberta-v3-base,50,14,0.606,0.59457911415005
microsoft/deberta-v3-base,50,15,0.576,0.5563974936575368
microsoft/deberta-v3-base,50,16,0.586,0.578101638202299
microsoft/deberta-v3-base,50,17,0.684,0.6667208694083694
microsoft/deberta-v3-base,50,18,0.596,0.5671665219651489
microsoft/deberta-v3-base,50,19,0.404,0.36810781494036926
microsoft/deberta-v3-base,100,0,0.698,0.6890889201280765
microsoft/deberta-v3-base,100,1,0.636,0.6228134151687739
microsoft/deberta-v3-base,100,2,0.72,0.6970063978844055
microsoft/deberta-v3-base,100,3,0.628,0.6067676592159524
microsoft/deberta-v3-base,100,4,0.674,0.6551185587474442
microsoft/deberta-v3-base,100,5,0.666,0.6367194900528234
microsoft/deberta-v3-base,100,6,0.62,0.5941461592343653
microsoft/deberta-v3-base,100,7,0.674,0.6606359680209363
microsoft/deberta-v3-base,100,8,0.596,0.587739058698348
microsoft/deberta-v3-base,100,9,0.672,0.6590194403268603
microsoft/deberta-v3-base,100,10,0.66,0.6312968250620781
microsoft/deberta-v3-base,100,11,0.69,0.6720450300207393
microsoft/deberta-v3-base,100,12,0.686,0.679226963563055
microsoft/deberta-v3-base,100,13,0.628,0.6237695349123025
microsoft/deberta-v3-base,100,14,0.708,0.6970439721712746
microsoft/deberta-v3-base,100,15,0.644,0.6265134801289358
microsoft/deberta-v3-base,100,16,0.632,0.6206436552638499
microsoft/deberta-v3-base,100,17,0.714,0.6982885213579503
microsoft/deberta-v3-base,100,18,0.72,0.7103920956617
microsoft/deberta-v3-base,100,19,0.678,0.6586833804882056
microsoft/deberta-v3-base,200,0,0.694,0.6832663268941029
microsoft/deberta-v3-base,200,1,0.722,0.7085253790796519
microsoft/deberta-v3-base,200,2,0.676,0.6688798166451797
microsoft/deberta-v3-base,200,3,0.698,0.6860258420629938
microsoft/deberta-v3-base,200,4,0.676,0.6643105222536662
microsoft/deberta-v3-base,200,5,0.678,0.6625241894329902
microsoft/deberta-v3-base,200,6,0.696,0.6781029773376147
microsoft/deberta-v3-base,200,7,0.732,0.7172296426493386
microsoft/deberta-v3-base,200,8,0.67,0.6557125924913536
microsoft/deberta-v3-base,200,9,0.684,0.6670633726322073
microsoft/deberta-v3-base,200,10,0.698,0.6837377318189131
microsoft/deberta-v3-base,200,11,0.714,0.7030440469752277
microsoft/deberta-v3-base,200,12,0.688,0.6705886729477673
microsoft/deberta-v3-base,200,13,0.702,0.6909441797690711
microsoft/deberta-v3-base,200,14,0.712,0.6984391019874191
microsoft/deberta-v3-base,200,15,0.682,0.6701886432614627
microsoft/deberta-v3-base,200,16,0.716,0.6947792697718617
microsoft/deberta-v3-base,200,17,0.672,0.6561408719495125
microsoft/deberta-v3-base,200,18,0.698,0.6779373583430937
microsoft/deberta-v3-base,200,19,0.71,0.6957772273810982
microsoft/deberta-v3-base,300,0,0.706,0.6895153855771261
microsoft/deberta-v3-base,300,1,0.708,0.6942631732132793
microsoft/deberta-v3-base,300,2,0.668,0.6478905431391759
microsoft/deberta-v3-base,300,3,0.688,0.6767131780450151
microsoft/deberta-v3-base,300,4,0.702,0.6870338637588503
microsoft/deberta-v3-base,300,5,0.7,0.6854447754495216
microsoft/deberta-v3-base,300,6,0.692,0.6777838691529778
microsoft/deberta-v3-base,300,7,0.71,0.6957481814700381
microsoft/deberta-v3-base,300,8,0.692,0.6783295529244745
microsoft/deberta-v3-base,300,9,0.734,0.7182613973452078
microsoft/deberta-v3-base,300,10,0.696,0.6840546249694633
microsoft/deberta-v3-base,300,11,0.698,0.6832749838368489
microsoft/deberta-v3-base,300,12,0.702,0.6855850047601086
microsoft/deberta-v3-base,300,13,0.732,0.7171902663950126
microsoft/deberta-v3-base,300,14,0.72,0.707441127221452
microsoft/deberta-v3-base,300,15,0.68,0.6624387359514301
microsoft/deberta-v3-base,300,16,0.714,0.6990773963349509
microsoft/deberta-v3-base,300,17,0.74,0.7205888806330876
microsoft/deberta-v3-base,300,18,0.71,0.6961575482095234
microsoft/deberta-v3-base,300,19,0.706,0.6926748937090978
microsoft/deberta-v3-base,500,0,0.712,0.6989604890721121
microsoft/deberta-v3-base,500,1,0.712,0.6989604890721121
microsoft/deberta-v3-base,500,2,0.712,0.6989604890721121
microsoft/deberta-v3-base,500,3,0.712,0.6989604890721121
microsoft/deberta-v3-base,500,4,0.712,0.6989604890721121
microsoft/deberta-v3-base,500,5,0.712,0.6989604890721121
microsoft/deberta-v3-base,500,6,0.712,0.6989604890721121
microsoft/deberta-v3-base,500,7,0.712,0.6989604890721121
microsoft/deberta-v3-base,500,8,0.712,0.6989604890721121
microsoft/deberta-v3-base,500,9,0.712,0.6989604890721121
microsoft/deberta-v3-base,500,10,0.712,0.6989604890721121
microsoft/deberta-v3-base,500,11,0.712,0.6989604890721121
microsoft/deberta-v3-base,500,12,0.712,0.6989604890721121
microsoft/deberta-v3-base,500,13,0.712,0.6989604890721121
microsoft/deberta-v3-base,500,14,0.712,0.6989604890721121
microsoft/deberta-v3-base,500,15,0.712,0.6989604890721121
microsoft/deberta-v3-base,500,16,0.712,0.6989604890721121
microsoft/deberta-v3-base,500,17,0.712,0.6989604890721121
microsoft/deberta-v3-base,500,18,0.712,0.6989604890721121
microsoft/deberta-v3-base,500,19,0.712,0.6989604890721121
