model,train_size,repeat,acc,f1
distilroberta-base,50,19,0.66,0.6586990376282832
distilroberta-base,100,0,0.616,0.5462378970812953
distilroberta-base,100,1,0.622,0.5565741165062377
distilroberta-base,100,2,0.592,0.5067943072131782
distilroberta-base,100,3,0.582,0.5620345264409521
distilroberta-base,100,4,0.552,0.4780970991229907
distilroberta-base,100,5,0.65,0.6385144334363584
distilroberta-base,100,6,0.618,0.6063199411057706
distilroberta-base,100,7,0.648,0.5983985724482312
distilroberta-base,100,8,0.668,0.6001689330126054
distilroberta-base,100,9,0.662,0.5983044005417488
distilroberta-base,100,10,0.588,0.5724946684283696
distilroberta-base,100,11,0.704,0.6366290761660812
distilroberta-base,100,12,0.57,0.49351452430296805
distilroberta-base,100,13,0.742,0.7207826876956314
distilroberta-base,100,14,0.628,0.5566755154961932
distilroberta-base,100,15,0.75,0.7414578307770292
distilroberta-base,100,16,0.57,0.5558119926074562
distilroberta-base,100,17,0.568,0.4446479246282492
distilroberta-base,100,18,0.678,0.619408746694542
distilroberta-base,100,19,0.55,0.49235576377599327
distilroberta-base,200,0,0.624,0.5963666598982715
distilroberta-base,200,1,0.668,0.6553317053317054
distilroberta-base,200,2,0.662,0.646804727535504
distilroberta-base,200,3,0.676,0.6539284294594905
distilroberta-base,200,4,0.71,0.6984026571457245
distilroberta-base,200,5,0.706,0.6805987222649665
distilroberta-base,200,6,0.656,0.6344519714357295
distilroberta-base,200,7,0.61,0.560788158636492
distilroberta-base,200,8,0.688,0.6388638321548641
distilroberta-base,200,9,0.65,0.5966480485350256
distilroberta-base,200,10,0.592,0.5472523259968483
distilroberta-base,200,11,0.688,0.6314104253791226
distilroberta-base,200,12,0.644,0.6175981888966182
distilroberta-base,200,13,0.684,0.6496419658010373
distilroberta-base,200,14,0.654,0.6145772903043255
distilroberta-base,200,15,0.572,0.5167204618846706
distilroberta-base,200,16,0.626,0.5870623968672289
distilroberta-base,200,17,0.75,0.7234433245677303
distilroberta-base,200,18,0.658,0.6319961429456089
distilroberta-base,200,19,0.666,0.6312629709123672
distilroberta-base,300,0,0.758,0.7444409800773462
distilroberta-base,300,1,0.78,0.7676357013635345
distilroberta-base,300,2,0.722,0.7121720122392391
distilroberta-base,300,3,0.73,0.705274379777315
distilroberta-base,300,4,0.734,0.7136685135928158
distilroberta-base,300,5,0.658,0.608532283356253
distilroberta-base,300,6,0.69,0.6623256524653401
distilroberta-base,300,7,0.758,0.7432359334574938
distilroberta-base,300,8,0.694,0.6840755884016114
distilroberta-base,300,9,0.702,0.6787712594131732
distilroberta-base,300,10,0.682,0.6506276402675562
distilroberta-base,300,11,0.684,0.6643988349127179
distilroberta-base,300,12,0.662,0.621489393681862
distilroberta-base,300,13,0.728,0.7176112176499065
distilroberta-base,300,14,0.724,0.7098967828498328
distilroberta-base,300,15,0.71,0.6961261937063119
distilroberta-base,300,16,0.692,0.6705798089508166
distilroberta-base,300,17,0.692,0.6725842204801185
distilroberta-base,300,18,0.674,0.6580993437655429
distilroberta-base,300,19,0.622,0.5789310514226536
distilroberta-base,500,0,0.736,0.721816357111846
distilroberta-base,500,1,0.736,0.721816357111846
distilroberta-base,500,2,0.736,0.721816357111846
distilroberta-base,500,3,0.736,0.721816357111846
distilroberta-base,500,4,0.736,0.721816357111846
distilroberta-base,500,5,0.736,0.721816357111846
distilroberta-base,500,6,0.736,0.721816357111846
distilroberta-base,500,7,0.736,0.721816357111846
distilroberta-base,500,8,0.736,0.721816357111846
distilroberta-base,500,9,0.736,0.721816357111846
distilroberta-base,500,10,0.736,0.721816357111846
distilroberta-base,500,11,0.736,0.721816357111846
distilroberta-base,500,12,0.736,0.721816357111846
distilroberta-base,500,13,0.736,0.721816357111846
distilroberta-base,500,14,0.736,0.721816357111846
distilroberta-base,500,15,0.736,0.721816357111846
distilroberta-base,500,16,0.736,0.721816357111846
distilroberta-base,500,17,0.736,0.721816357111846
distilroberta-base,500,18,0.736,0.721816357111846
distilroberta-base,500,19,0.736,0.721816357111846
sentence-transformers/all-MiniLM-L6-v2,25,0,0.576,0.46363527846690394
sentence-transformers/all-MiniLM-L6-v2,25,1,0.554,0.4811086826619205
sentence-transformers/all-MiniLM-L6-v2,25,2,0.774,0.7625410301860481
sentence-transformers/all-MiniLM-L6-v2,25,3,0.744,0.7253674061570126
sentence-transformers/all-MiniLM-L6-v2,25,4,0.62,0.5444099977891693
sentence-transformers/all-MiniLM-L6-v2,25,5,0.62,0.5621353779073524
sentence-transformers/all-MiniLM-L6-v2,25,6,0.54,0.4791374324712555
sentence-transformers/all-MiniLM-L6-v2,25,7,0.552,0.44509505612912303
sentence-transformers/all-MiniLM-L6-v2,25,8,0.552,0.48310366331301713
sentence-transformers/all-MiniLM-L6-v2,25,9,0.456,0.34858517408200507
sentence-transformers/all-MiniLM-L6-v2,25,10,0.626,0.5352423560000622
sentence-transformers/all-MiniLM-L6-v2,25,11,0.462,0.39302015994018846
sentence-transformers/all-MiniLM-L6-v2,25,12,0.608,0.5629459645454383
sentence-transformers/all-MiniLM-L6-v2,25,13,0.596,0.5266386045857686
sentence-transformers/all-MiniLM-L6-v2,25,14,0.58,0.5790264877634911
sentence-transformers/all-MiniLM-L6-v2,25,15,0.48,0.3983824011960274
sentence-transformers/all-MiniLM-L6-v2,25,16,0.648,0.5771427649916433
sentence-transformers/all-MiniLM-L6-v2,25,17,0.47,0.4050423720627017
sentence-transformers/all-MiniLM-L6-v2,25,18,0.592,0.45117657621405743
sentence-transformers/all-MiniLM-L6-v2,25,19,0.468,0.3660191540949415
sentence-transformers/all-MiniLM-L6-v2,50,0,0.79,0.7882409123295826
sentence-transformers/all-MiniLM-L6-v2,50,1,0.72,0.69833792555485
sentence-transformers/all-MiniLM-L6-v2,50,2,0.666,0.5824824014896384
sentence-transformers/all-MiniLM-L6-v2,50,3,0.548,0.43162096709838665
sentence-transformers/all-MiniLM-L6-v2,50,4,0.758,0.7338755980861243
sentence-transformers/all-MiniLM-L6-v2,50,5,0.722,0.6882276378187477
sentence-transformers/all-MiniLM-L6-v2,50,6,0.702,0.6345680774252204
sentence-transformers/all-MiniLM-L6-v2,50,7,0.722,0.7118686868686869
sentence-transformers/all-MiniLM-L6-v2,50,8,0.726,0.725668146621289
sentence-transformers/all-MiniLM-L6-v2,50,9,0.67,0.589993502274204
sentence-transformers/all-MiniLM-L6-v2,50,10,0.724,0.6536001887721803
sentence-transformers/all-MiniLM-L6-v2,50,11,0.762,0.7425927854437633
sentence-transformers/all-MiniLM-L6-v2,50,12,0.586,0.501429720978112
sentence-transformers/all-MiniLM-L6-v2,50,13,0.694,0.6847028233059023
sentence-transformers/all-MiniLM-L6-v2,50,14,0.73,0.717791601744635
sentence-transformers/all-MiniLM-L6-v2,50,15,0.748,0.7298539215838014
sentence-transformers/all-MiniLM-L6-v2,50,16,0.712,0.707397613325875
sentence-transformers/all-MiniLM-L6-v2,50,17,0.726,0.7291123381812857
sentence-transformers/all-MiniLM-L6-v2,50,18,0.58,0.49452473452473444
sentence-transformers/all-MiniLM-L6-v2,50,19,0.684,0.6723453305702819
sentence-transformers/all-MiniLM-L6-v2,100,0,0.766,0.7543333117959984
sentence-transformers/all-MiniLM-L6-v2,100,1,0.728,0.7012779791236141
sentence-transformers/all-MiniLM-L6-v2,100,2,0.754,0.7468341972908011
sentence-transformers/all-MiniLM-L6-v2,100,3,0.742,0.7013474311507766
sentence-transformers/all-MiniLM-L6-v2,100,4,0.676,0.6791685155474584
sentence-transformers/all-MiniLM-L6-v2,100,5,0.75,0.7547023950323849
sentence-transformers/all-MiniLM-L6-v2,100,6,0.806,0.8018884225569227
sentence-transformers/all-MiniLM-L6-v2,100,7,0.666,0.6381852652469749
sentence-transformers/all-MiniLM-L6-v2,100,8,0.784,0.7793069537956743
sentence-transformers/all-MiniLM-L6-v2,100,9,0.718,0.6941112186698268
sentence-transformers/all-MiniLM-L6-v2,100,10,0.774,0.7402897605815275
sentence-transformers/all-MiniLM-L6-v2,100,11,0.732,0.7314220431566505
sentence-transformers/all-MiniLM-L6-v2,100,12,0.704,0.6705752042299336
sentence-transformers/all-MiniLM-L6-v2,100,13,0.724,0.7037439103465803
sentence-transformers/all-MiniLM-L6-v2,100,14,0.82,0.8113581455667219
sentence-transformers/all-MiniLM-L6-v2,100,15,0.728,0.7252669425130133
sentence-transformers/all-MiniLM-L6-v2,100,16,0.876,0.8693489288738057
sentence-transformers/all-MiniLM-L6-v2,100,17,0.642,0.6086178703220304
sentence-transformers/all-MiniLM-L6-v2,100,18,0.71,0.6993735167596384
sentence-transformers/all-MiniLM-L6-v2,100,19,0.79,0.7851224809866103
sentence-transformers/all-MiniLM-L6-v2,200,0,0.744,0.7314169643346498
sentence-transformers/all-MiniLM-L6-v2,200,1,0.772,0.7621229414433301
sentence-transformers/all-MiniLM-L6-v2,200,2,0.758,0.7456688419374987
sentence-transformers/all-MiniLM-L6-v2,200,3,0.746,0.7322597304101889
sentence-transformers/all-MiniLM-L6-v2,200,4,0.792,0.7881653142319826
sentence-transformers/all-MiniLM-L6-v2,200,5,0.786,0.7721495904817474
sentence-transformers/all-MiniLM-L6-v2,200,6,0.824,0.8099489573229324
sentence-transformers/all-MiniLM-L6-v2,200,7,0.746,0.7448544669707158
sentence-transformers/all-MiniLM-L6-v2,200,8,0.83,0.8236283345810737
sentence-transformers/all-MiniLM-L6-v2,200,9,0.812,0.8014869453225616
