train_model,test_model,method,mean_target_cosine,std_target_cosine,median_target_cosine,retrieval_top1_acc,retrieval_label_acc,retrieval_label_f1,comparison,delta_classifier_acc,delta_classifier_f1,observed_raw_f1,observed_aligned_f1
microsoft/deberta-v3-base,roberta-base,mdv_raw,0.4332749,0.14998914,0.46832848,0.304,0.78,0.7398854047229522,cross_model_full_anchor,0.734,0.6761937112756785,0.4724270980194999,0.6761937112756785
microsoft/deberta-v3-base,roberta-base,mdv_unit,0.60746473,0.1764793,0.63325214,0.34,0.498,0.4499057624339226,cross_model_full_anchor,0.734,0.6761937112756785,0.4724270980194999,0.6761937112756785
microsoft/deberta-v3-base,roberta-base,rise_style,0.536273,0.20284277,0.5581781,0.356,0.532,0.4871711132291227,cross_model_full_anchor,0.734,0.6761937112756785,0.4724270980194999,0.6761937112756785
microsoft/deberta-v3-base,distilroberta-base,mdv_raw,0.45960742,0.14179371,0.48990932,0.372,0.814,0.7812120707446955,cross_model_full_anchor,0.648,0.5849340317091299,0.3539226655157761,0.5849340317091299
microsoft/deberta-v3-base,distilroberta-base,mdv_unit,0.649826,0.16030315,0.6846054,0.36,0.49,0.44782414119770886,cross_model_full_anchor,0.648,0.5849340317091299,0.3539226655157761,0.5849340317091299
microsoft/deberta-v3-base,distilroberta-base,rise_style,0.5742732,0.18752761,0.60092807,0.36,0.542,0.4943677778470966,cross_model_full_anchor,0.648,0.5849340317091299,0.3539226655157761,0.5849340317091299
microsoft/deberta-v3-base,sentence-transformers/all-MiniLM-L6-v2,mdv_raw,0.82355887,0.060645245,0.8379218,0.454,0.454,0.42424846809298156,cross_model_full_anchor,0.782,0.7730443716277334,0.2227781579523024,0.7730443716277334
microsoft/deberta-v3-base,sentence-transformers/all-MiniLM-L6-v2,mdv_unit,0.78881633,0.052831974,0.80521333,0.598,0.598,0.5642220835130489,cross_model_full_anchor,0.782,0.7730443716277334,0.2227781579523024,0.7730443716277334
microsoft/deberta-v3-base,sentence-transformers/all-MiniLM-L6-v2,rise_style,0.7713602,0.07100832,0.78537446,0.678,0.678,0.6397786843521026,cross_model_full_anchor,0.782,0.7730443716277334,0.2227781579523024,0.7730443716277334
microsoft/deberta-v3-base,sentence-transformers/all-mpnet-base-v2,mdv_raw,0.5913729,0.08300387,0.5927961,0.694,0.732,0.6894436938025519,cross_model_full_anchor,0.822,0.8315592311574014,0.2289937529181781,0.8315592311574014
microsoft/deberta-v3-base,sentence-transformers/all-mpnet-base-v2,mdv_unit,0.7623637,0.06926092,0.7792022,0.53,0.53,0.47712909303634826,cross_model_full_anchor,0.822,0.8315592311574014,0.2289937529181781,0.8315592311574014
microsoft/deberta-v3-base,sentence-transformers/all-mpnet-base-v2,rise_style,0.7355988,0.08033794,0.75166756,0.684,0.684,0.6283709381600998,cross_model_full_anchor,0.822,0.8315592311574014,0.2289937529181781,0.8315592311574014
