train_model,test_model,alignment_size,repeat,heldout_anchor_pool_size,observed_full_anchor_f1,observed_raw_f1,heldout_acc,heldout_f1,heldout_minus_raw_f1,heldout_minus_full_anchor_f1
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,500,1,1200,0.7538170115036008,0.1657294157379263,0.798,0.7897205519556768,0.6239911362177505,0.035903540452076
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,500,2,1200,0.7538170115036008,0.1657294157379263,0.834,0.8288004211565649,0.6630710054186386,0.07498340965296413
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,500,3,1200,0.7538170115036008,0.1657294157379263,0.786,0.7742290660534369,0.6084996503155106,0.02041205454983608
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,500,4,1200,0.7538170115036008,0.1657294157379263,0.816,0.8087304800462695,0.6430010643083431,0.05491346854266865
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,500,5,1200,0.7538170115036008,0.1657294157379263,0.814,0.8069540976605595,0.6412246819226332,0.05313708615695867
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,500,6,1200,0.7538170115036008,0.1657294157379263,0.766,0.7541620292306993,0.588432613492773,0.00034501772709849554
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,500,7,1200,0.7538170115036008,0.1657294157379263,0.794,0.788439200588831,0.6227097848509047,0.03462218908523018
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,500,8,1200,0.7538170115036008,0.1657294157379263,0.784,0.7727669619962791,0.6070375462583528,0.018949950492678336
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,500,9,1200,0.7538170115036008,0.1657294157379263,0.748,0.7266525102550137,0.5609230945170873,-0.02716450124858716
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,1000,0,1200,0.7538170115036008,0.1657294157379263,0.81,0.8011677211858295,0.6354383054479031,0.04735070968222865
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,1000,1,1200,0.7538170115036008,0.1657294157379263,0.81,0.8005493335825363,0.63481991784461,0.04673232207893552
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,1000,2,1200,0.7538170115036008,0.1657294157379263,0.798,0.7884338702922603,0.622704454554334,0.0346168587886595
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,1000,3,1200,0.7538170115036008,0.1657294157379263,0.818,0.8092998477068134,0.6435704319688871,0.05548283620321259
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,1000,4,1200,0.7538170115036008,0.1657294157379263,0.814,0.8074875514817711,0.6417581357438448,0.053670539978170284
bert-base-uncased,sentence-transformers/all-MiniLM-L6-v2,1000,5,1200,0.7538170115036008,0.1657294157379263,0.804,0.7954126247472495,0.6296832090093232,0.04159561324364869
