model,target_class,source_set,prompt_style,layer,control,target_marker_rate,mean_target_step0_prob,median_target_step0_rank,mean_target_best_prob,median_target_best_rank,target_top1_any_rate,target_top5_any_rate,target_top10_any_rate,mean_generated_chars,rows
gpt2,question,hard_out_of_template,copy_sentence,2,random_norm,0.0,0.00017487005698058056,568.0,0.0017618451796200436,46.5,0.0,0.08333333333333333,0.16666666666666666,97.5,12
gpt2,question,hard_out_of_template,copy_sentence,2,target,0.75,0.00016792381817746596,492.5,0.6539684229064733,1.0,0.75,1.0,1.0,95.25,12
gpt2,question,hard_out_of_template,copy_sentence,2,wrong_marker,0.0,0.00012025839532725513,680.5,0.009519535640720278,6.5,0.0,0.5,0.75,102.16666666666667,12
gpt2,question,hard_out_of_template,copy_sentence,3,negative_target,0.0,0.00014769781665791015,525.5,0.0021722705675225975,75.0,0.0,0.0,0.08333333333333333,103.5,12
gpt2,question,hard_out_of_template,copy_sentence,3,none,0.0,0.00016953258545981953,525.0,0.003584062170072381,42.0,0.0,0.08333333333333333,0.25,96.66666666666667,12
gpt2,question,hard_out_of_template,copy_sentence,3,random_norm,0.0,0.00013463800981602012,1017.5,0.006638195809500758,36.0,0.0,0.3333333333333333,0.4166666666666667,99.08333333333333,12
gpt2,question,hard_out_of_template,copy_sentence,3,target,0.8333333333333334,0.00012799630803783657,546.5,0.7261316432462385,1.0,0.8333333333333334,1.0,1.0,96.58333333333333,12
gpt2,question,hard_out_of_template,copy_sentence,3,wrong_marker,0.0,0.0001263211988771218,627.5,0.0026320709730498493,11.5,0.0,0.08333333333333333,0.4166666666666667,98.66666666666667,12
gpt2,question,hard_out_of_template,same_sentence,2,negative_target,0.0,9.688729854436436e-05,795.5,0.00036251958105519105,75.0,0.0,0.0,0.0,97.83333333333333,12
gpt2,question,hard_out_of_template,same_sentence,2,none,0.0,0.00012347880813952847,584.5,0.0004297056214757807,35.5,0.0,0.0,0.0,96.75,12
gpt2,question,hard_out_of_template,same_sentence,2,random_norm,0.0,0.0001677263488393995,490.0,0.0012038650032385096,23.0,0.0,0.16666666666666666,0.25,97.58333333333333,12
gpt2,question,hard_out_of_template,same_sentence,2,target,0.8333333333333334,0.00013119238913835338,430.0,0.721262076869607,1.0,0.8333333333333334,1.0,1.0,102.16666666666667,12
gpt2,question,hard_out_of_template,same_sentence,2,wrong_marker,0.0,0.00011721120002524306,579.0,0.0059520285576581955,7.5,0.0,0.4166666666666667,0.5833333333333334,103.83333333333333,12
gpt2,question,hard_out_of_template,same_sentence,3,negative_target,0.0,0.00011428893079331222,623.5,0.00037851031326378387,77.0,0.0,0.0,0.0,101.08333333333333,12
gpt2,question,hard_out_of_template,same_sentence,3,none,0.0,0.00012347880813952847,584.5,0.0004297056214757807,35.5,0.0,0.0,0.0,96.75,12
gpt2,question,hard_out_of_template,same_sentence,3,random_norm,0.0,0.0001688089481225082,528.0,0.0012195333996108577,33.0,0.0,0.08333333333333333,0.16666666666666666,95.58333333333333,12
gpt2,question,hard_out_of_template,same_sentence,3,target,0.75,9.012751115733408e-05,654.0,0.6757497607419888,1.0,0.75,1.0,1.0,102.0,12
gpt2,question,hard_out_of_template,same_sentence,3,wrong_marker,0.0,0.00010652513098345177,679.0,0.0033472828896871456,11.0,0.0,0.16666666666666666,0.4166666666666667,104.25,12
gpt2,question,in_template,copy_sentence,2,negative_target,0.0,0.00015793908247966706,544.5,0.004454267744828637,18.0,0.0,0.3333333333333333,0.4166666666666667,109.5,12
gpt2,question,in_template,copy_sentence,2,none,0.0,0.00012688960972203253,683.5,0.0013399232678542223,17.0,0.0,0.16666666666666666,0.3333333333333333,110.5,12
gpt2,question,in_template,copy_sentence,2,random_norm,0.0,0.000103560710461655,1001.5,0.005003018886782229,23.5,0.0,0.08333333333333333,0.08333333333333333,109.75,12
gpt2,question,in_template,copy_sentence,2,target,0.75,0.00012980180326849222,571.0,0.6763856398271552,1.0,0.75,0.8333333333333334,0.8333333333333334,89.25,12
gpt2,question,in_template,copy_sentence,2,wrong_marker,0.0,8.874762473472704e-05,955.0,0.0054037290198418,6.0,0.0,0.5,0.6666666666666666,106.5,12
gpt2,question,in_template,copy_sentence,3,negative_target,0.0,8.99190629060816e-05,807.0,0.003942155117499624,20.0,0.0,0.25,0.4166666666666667,113.5,12
gpt2,question,in_template,copy_sentence,3,none,0.0,0.00012688960972203253,683.5,0.0013399232678542223,17.0,0.0,0.16666666666666666,0.3333333333333333,110.5,12
gpt2,question,in_template,copy_sentence,3,random_norm,0.0,0.00013291279841117407,763.5,0.0028792162993340753,22.5,0.0,0.16666666666666666,0.16666666666666666,112.16666666666667,12
gpt2,question,in_template,copy_sentence,3,target,0.9166666666666666,9.98954922882452e-05,686.5,0.7729679895564914,1.0,0.9166666666666666,1.0,1.0,105.16666666666667,12
gpt2,question,in_template,copy_sentence,3,wrong_marker,0.0,9.486662232423744e-05,749.5,0.0035227952854863056,6.0,0.0,0.3333333333333333,0.6666666666666666,106.66666666666667,12
gpt2,question,in_template,same_sentence,2,negative_target,0.0,9.022542083888159e-05,795.0,0.000666090286661832,55.5,0.0,0.0,0.0,105.75,12
gpt2,question,in_template,same_sentence,2,none,0.0,0.00010855448393461604,566.0,0.0006515597233374137,20.5,0.0,0.0,0.16666666666666666,103.83333333333333,12
gpt2,question,in_template,same_sentence,2,random_norm,0.0,0.00013244186175143113,561.5,0.0019030246439797338,20.0,0.0,0.08333333333333333,0.3333333333333333,108.16666666666667,12
gpt2,question,in_template,same_sentence,2,target,1.0,0.00010757133532024454,403.5,0.8967461486657461,1.0,1.0,1.0,1.0,109.66666666666667,12
gpt2,question,in_template,same_sentence,2,wrong_marker,0.0,9.568288775578064e-05,586.5,0.006178439944051206,5.0,0.0,0.75,0.9166666666666666,114.08333333333333,12
gpt2,question,in_template,same_sentence,3,negative_target,0.0,0.00011803494938552224,558.5,0.0007844222163839731,57.0,0.0,0.0,0.0,109.41666666666667,12
gpt2,question,in_template,same_sentence,3,none,0.0,0.00010855448393461604,566.0,0.0006515597233374137,20.5,0.0,0.0,0.16666666666666666,103.83333333333333,12
gpt2,question,in_template,same_sentence,3,random_norm,0.0,0.00014661752781345663,547.0,0.0015727450475727285,31.0,0.0,0.0,0.25,113.08333333333333,12
gpt2,question,in_template,same_sentence,3,target,1.0,6.960495314463817e-05,676.0,0.906404380997022,1.0,1.0,1.0,1.0,109.33333333333333,12
gpt2,question,in_template,same_sentence,3,wrong_marker,0.0,8.220100517064566e-05,708.0,0.0033731812630624822,6.5,0.0,0.3333333333333333,0.75,114.08333333333333,12
