model,feature,heldout_language,accuracy,macro_f1,chance,n_train,n_test,mean_macro_f1,min_macro_f1,max_macro_f1,n
bert-base-multilingual-cased,endpoint_concat,zh,0.8515625,0.8433399337825898,0.25,2304.0,384.0,,,,
bert-base-multilingual-cased,delta_concat,zh,0.9296875,0.929043384202497,0.25,2304.0,384.0,,,,
bert-base-multilingual-cased,signed_endpoint_sum,zh,0.6614583333333334,0.5930855032253619,0.25,2304.0,384.0,,,,
bert-base-multilingual-cased,signed_delta_sum,zh,0.6614583333333334,0.5930855032253619,0.25,2304.0,384.0,,,,
bert-base-multilingual-cased,source_only,ar,0.25,0.1,0.25,2304.0,384.0,,,,
bert-base-multilingual-cased,endpoint_mean,ar,0.328125,0.2315742793791574,0.25,2304.0,384.0,,,,
bert-base-multilingual-cased,cyclic_endpoint_mean,ar,0.2682291666666667,0.1354604979576756,0.25,2304.0,384.0,,,,
bert-base-multilingual-cased,anticyclic_endpoint_mean,ar,0.5494791666666666,0.5183535108011291,0.25,2304.0,384.0,,,,
bert-base-multilingual-cased,endpoint_concat,ar,0.453125,0.3435409161091096,0.25,2304.0,384.0,,,,
bert-base-multilingual-cased,delta_concat,ar,0.5989583333333334,0.5418852494533926,0.25,2304.0,384.0,,,,
bert-base-multilingual-cased,signed_endpoint_sum,ar,0.1796875,0.1351539851632423,0.25,2304.0,384.0,,,,
bert-base-multilingual-cased,signed_delta_sum,ar,0.1796875,0.1351539851632423,0.25,2304.0,384.0,,,,
,anticyclic_endpoint_mean,ar,,,,,,0.3029005190371207,0.1002087682672233,0.5183535108011291,7.0
,cyclic_endpoint_mean,ar,,,,,,0.2494355227755471,0.1,0.4489904795787149,7.0
,delta_concat,ar,,,,,,0.4686064153053185,0.1476835093011563,0.6647810648743637,7.0
,endpoint_concat,ar,,,,,,0.285043471485594,0.1,0.5133910904153401,7.0
,endpoint_mean,ar,,,,,,0.2648671937262604,0.1107299409186201,0.4618112674420855,7.0
,signed_delta_sum,ar,,,,,,0.1663117129803397,0.0389147930505876,0.3359072888190075,7.0
