model,ridge_alpha,heldout_language,method,operator,operator_fro_norm,operator_spectral_norm,operator_trace
Qwen/Qwen3-Embedding-0.6B,10.0,de,linear,T,7.440350616035327,2.5157001274016464,-28.91560685634613
Qwen/Qwen3-Embedding-0.6B,10.0,de,affine,N,8.497250118089786,3.705324185001305,-32.776117742061615
Qwen/Qwen3-Embedding-0.6B,10.0,de,affine,Q,6.492253045365577,1.9740911917526522,-21.703151047229767
Qwen/Qwen3-Embedding-0.6B,10.0,de,affine,M,7.136828452306284,2.5729204862484023,-27.381812751293182
Qwen/Qwen3-Embedding-0.6B,10.0,de,affine,T,7.445753733776022,2.482613297188795,-29.231811106204987
Qwen/Qwen3-Embedding-0.6B,10.0,ru,linear,N,8.999461358664531,4.682003491645327,-32.45475494861603
Qwen/Qwen3-Embedding-0.6B,10.0,ru,linear,Q,6.641518343805795,2.210775297533214,-20.466743171215057
Qwen/Qwen3-Embedding-0.6B,10.0,ru,linear,M,6.733550570583671,2.5161878189884996,-25.191373884677887
Qwen/Qwen3-Embedding-0.6B,10.0,ru,linear,T,7.813978902538823,2.8328341336828564,-27.32328951358795
Qwen/Qwen3-Embedding-0.6B,10.0,ru,affine,N,8.963477153998156,4.679687070562581,-32.468915313482285
Qwen/Qwen3-Embedding-0.6B,10.0,ru,affine,Q,6.618723981088681,2.165192751222892,-20.635871946811676
Qwen/Qwen3-Embedding-0.6B,10.0,ru,affine,M,6.759473706553946,2.513517386750424,-25.514666497707367
Qwen/Qwen3-Embedding-0.6B,10.0,ru,affine,T,7.770108835345075,2.767371440833999,-27.40288144350052
Qwen/Qwen3-Embedding-0.6B,10.0,zh,linear,N,9.114774392432956,4.005734036169581,-35.80824375152588
Qwen/Qwen3-Embedding-0.6B,10.0,zh,linear,Q,6.7357646920597345,1.994133102295124,-26.455164551734924
Qwen/Qwen3-Embedding-0.6B,10.0,zh,linear,M,7.633628830950531,2.8763624677344692,-30.567765951156616
Qwen/Qwen3-Embedding-0.6B,10.0,zh,linear,T,8.067573126756487,2.85954227682138,-30.086243093013763
Qwen/Qwen3-Embedding-0.6B,10.0,zh,affine,N,9.092703773399712,4.024935721294143,-35.7526581287384
Qwen/Qwen3-Embedding-0.6B,10.0,zh,affine,Q,6.678951595574132,1.98339870455773,-26.598889350891113
Qwen/Qwen3-Embedding-0.6B,10.0,zh,affine,M,7.64700867942064,2.8700653544648036,-30.91223841905594
Qwen/Qwen3-Embedding-0.6B,10.0,zh,affine,T,8.049840851810218,2.8194906454760633,-30.314393162727356
Qwen/Qwen3-Embedding-0.6B,10.0,ar,linear,N,8.912251751812372,4.06602013515433,-34.6173791885376
Qwen/Qwen3-Embedding-0.6B,10.0,ar,linear,Q,6.595745270507527,2.0082041182057164,-22.168762743473053
Qwen/Qwen3-Embedding-0.6B,10.0,ar,linear,M,7.293332784890886,2.706477621343451,-27.774080216884613
Qwen/Qwen3-Embedding-0.6B,10.0,ar,linear,T,7.678790181796464,2.704692991177207,-28.5098215341568
Qwen/Qwen3-Embedding-0.6B,10.0,ar,affine,N,8.91428547978051,4.04514070967439,-34.59502616524696
Qwen/Qwen3-Embedding-0.6B,10.0,ar,affine,Q,6.5694840229182905,1.999962541648946,-22.18750286102295
Qwen/Qwen3-Embedding-0.6B,10.0,ar,affine,M,7.322473626279349,2.713072413869147,-27.896804928779602
Qwen/Qwen3-Embedding-0.6B,10.0,ar,affine,T,7.661974911944009,2.609280112441613,-28.693279445171356
