model,ridge_alpha,heldout_language,method,pair,basis_rank,matrix_commutator_norm,closure_residual_ratio,random_subspace_null_mean,random_subspace_null_std,empirical_p_below_random_subspace_null,gaussian_norm_matched_null_mean,gaussian_norm_matched_null_std,empirical_p_below_gaussian_norm_matched_null,signed_permutation_matched_null_mean,signed_permutation_matched_null_std,empirical_p_below_signed_permutation_matched_null,coef_N,coef_Q,coef_M,coef_T
sentence-transformers/LaBSE,10.0,es,affine,QT_minus_TQ,4,5.098961010769474,0.9922777930212849,0.9998771143465929,8.462967238086643e-05,0.000999000999000999,0.9998760089754083,8.337361152024204e-05,0.000999000999000999,0.9996648023717869,0.00028353035473037446,0.000999000999000999,0.032209094482702254,-0.10809575518495938,-0.008260671865971745,0.060385140754063885
sentence-transformers/LaBSE,10.0,es,affine,MT_minus_TM,4,4.500496607935293,0.9951514133149872,0.9998779361112424,8.46172577746698e-05,0.000999000999000999,0.9998743646805103,8.788928276954748e-05,0.000999000999000999,0.9995657865133823,0.00040627211952994454,0.000999000999000999,0.01847203309403284,0.004490633103626785,0.027515045459876375,-0.07221372159545465
sentence-transformers/LaBSE,10.0,fr,linear,NQ_minus_QN,4,4.611692452393746,0.9959069970327598,0.9998776464919835,8.938859020291867e-05,0.000999000999000999,0.9998756410448277,8.931644457948798e-05,0.000999000999000999,0.9996837541939239,0.00026036996147518483,0.000999000999000999,-0.04760444610671447,0.07078484544180869,-0.0025434940332662343,-0.01488718138951133
sentence-transformers/LaBSE,10.0,fr,linear,NM_minus_MN,4,4.753303925246634,0.9936359229101193,0.9998812669663206,8.75657710953801e-05,0.000999000999000999,0.9998738005160962,9.039755135854046e-05,0.000999000999000999,0.9996640770119752,0.0002948383307959855,0.000999000999000999,0.08927900335511116,-0.020920236589076817,-0.05593319795315576,-0.022160791128185857
sentence-transformers/LaBSE,10.0,fr,linear,NT_minus_TN,4,4.530944217200512,0.9995397417624124,0.999875719074232,9.154822435957198e-05,0.007992007992007992,0.999873040679705,8.430835072159268e-05,0.005994005994005994,0.9996517732957746,0.0003261607197978715,0.2597402597402597,0.002329752581097613,-0.005377578816333113,0.011483605496557464,-0.018511293387744526
sentence-transformers/LaBSE,10.0,fr,linear,QM_minus_MQ,4,4.185077884496886,0.9992236440239968,0.9998836538788887,8.504551714030718e-05,0.001998001998001998,0.9998847425200033,8.185404332043382e-05,0.000999000999000999,0.999672069291174,0.00027180733532460787,0.07392607392607392,0.012303317297263881,-0.01664226679758064,-0.01957880005159206,0.0171434390070724
sentence-transformers/LaBSE,10.0,fr,linear,QT_minus_TQ,4,4.984404107449728,0.9980937236992203,0.9998740911092063,8.760257718764809e-05,0.000999000999000999,0.999879519840721,8.408136348765257e-05,0.000999000999000999,0.999686228883181,0.00025537604131070315,0.000999000999000999,0.03616076050852803,-0.01732780540036269,0.007319197939356837,-0.042914470926826064
sentence-transformers/LaBSE,10.0,fr,linear,MT_minus_TM,4,4.30612504273966,0.9932802055937561,0.999880195640995,8.453616022550996e-05,0.000999000999000999,0.9998767185009324,8.778148878708976e-05,0.000999000999000999,0.9996333498232793,0.00031993424631293095,0.000999000999000999,0.04405083335995494,0.012261847293967915,0.015585161141232338,-0.0855398205647464
sentence-transformers/LaBSE,10.0,fr,affine,NQ_minus_QN,4,4.519033871312381,0.9942116752203005,0.9998770143076958,8.310795712134708e-05,0.000999000999000999,0.9998749117730852,8.782060492399156e-05,0.000999000999000999,0.9997041143614875,0.00024224754198077828,0.000999000999000999,-0.04979486166136238,0.08738974372541715,-0.004896821780861766,-0.01722439145934066
sentence-transformers/LaBSE,10.0,fr,affine,NM_minus_MN,4,4.796717115491049,0.9948951061690173,0.9998783913261179,8.210583232095448e-05,0.000999000999000999,0.999877346272084,8.480760887236473e-05,0.000999000999000999,0.9996398528668071,0.00032826320182903664,0.000999000999000999,0.07940775256399499,-0.019026075687969983,-0.0541725298806263,-0.01642969686550721
sentence-transformers/LaBSE,10.0,fr,affine,NT_minus_TN,4,4.499787640810918,0.9994974207992534,0.9998780753831977,8.575663890257045e-05,0.002997002997002997,0.9998733221756387,8.805351669774827e-05,0.003996003996003996,0.9996682657878514,0.0002596665201107793,0.2077922077922078,-0.008377662417967759,-0.004065117018474482,0.015320564198559292,-0.013465245044684507
sentence-transformers/LaBSE,10.0,fr,affine,QM_minus_MQ,4,4.189996910166544,0.9987961295043725,0.9998789991229041,8.483427246709814e-05,0.000999000999000999,0.9998743522448715,8.611978140674834e-05,0.000999000999000999,0.9996804803987565,0.00025482152159698806,0.008991008991008992,0.012780178260667425,-0.02516639849755695,-0.021731885459407924,0.021454990296132584
sentence-transformers/LaBSE,10.0,fr,affine,QT_minus_TQ,4,4.816123496477355,0.9985320722077912,0.9998768296895869,8.731225103153373e-05,0.000999000999000999,0.9998763742807626,9.022555606590705e-05,0.000999000999000999,0.9996955025472526,0.00024963784877888857,0.002997002997002997,0.03235514831270534,-0.025355314301963368,0.00506822027104067,-0.028773310343661485
