model,heldout_language,probe,subspace_rank,accuracy,macro_f1,chance,n_train,n_test
sentence-transformers/LaBSE,fr,triple_label_from_single_endpoint_delta,4,0.9613715277777778,0.9612462380236034,0.25,13824,2304
sentence-transformers/LaBSE,fr,endpoint_position_from_endpoint_delta,6,0.4735243055555556,0.4422453953760672,0.1666666666666666,13824,2304
sentence-transformers/LaBSE,fr,cyclic_vs_anticyclic_from_endpoint_delta,1,0.6219618055555556,0.6214220104824757,0.5,13824,2304
sentence-transformers/LaBSE,ru,triple_label_from_single_endpoint_delta,4,0.8402777777777778,0.8332227693136857,0.25,13824,2304
sentence-transformers/LaBSE,ru,endpoint_position_from_endpoint_delta,6,0.3324652777777778,0.334143178128179,0.1666666666666666,13824,2304
sentence-transformers/LaBSE,ru,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5967881944444444,0.5815981992671573,0.5,13824,2304
sentence-transformers/LaBSE,zh,triple_label_from_single_endpoint_delta,4,0.9683159722222222,0.9685393979196696,0.25,13824,2304
sentence-transformers/LaBSE,zh,endpoint_position_from_endpoint_delta,6,0.3185763888888889,0.2924682055749876,0.1666666666666666,13824,2304
sentence-transformers/LaBSE,zh,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5907118055555556,0.5847967174687466,0.5,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,triple_label_from_single_endpoint_delta,4,0.4001736111111111,0.3270613029703665,0.25,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,endpoint_position_from_endpoint_delta,6,0.1302083333333333,0.0864046908268951,0.1666666666666666,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,cyclic_vs_anticyclic_from_endpoint_delta,1,0.4956597222222222,0.486843164510087,0.5,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,de,triple_label_from_single_endpoint_delta,4,0.9722222222222222,0.9723147238667372,0.25,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,de,endpoint_position_from_endpoint_delta,6,0.3702256944444444,0.3514891097328593,0.1666666666666666,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,de,cyclic_vs_anticyclic_from_endpoint_delta,1,0.6189236111111112,0.6187969363734422,0.5,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,triple_label_from_single_endpoint_delta,4,0.9982638888888888,0.9982635114742832,0.25,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,endpoint_position_from_endpoint_delta,6,0.3806423611111111,0.3403027485383425,0.1666666666666666,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,cyclic_vs_anticyclic_from_endpoint_delta,1,0.6341145833333334,0.6262123543957487,0.5,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,es,triple_label_from_single_endpoint_delta,4,0.8450520833333334,0.8463035006766717,0.25,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,es,endpoint_position_from_endpoint_delta,6,0.4097222222222222,0.3898894438118114,0.1666666666666666,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,es,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5963541666666666,0.5962857200995719,0.5,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,fr,triple_label_from_single_endpoint_delta,4,0.9136284722222222,0.9129798568675704,0.25,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,fr,endpoint_position_from_endpoint_delta,6,0.421875,0.4156920337923675,0.1666666666666666,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,fr,cyclic_vs_anticyclic_from_endpoint_delta,1,0.6063368055555556,0.6031954330774149,0.5,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ru,triple_label_from_single_endpoint_delta,4,0.6427951388888888,0.6466408369082626,0.25,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ru,endpoint_position_from_endpoint_delta,6,0.1770833333333333,0.1652631412285685,0.1666666666666666,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ru,cyclic_vs_anticyclic_from_endpoint_delta,1,0.51171875,0.4646759441024203,0.5,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,zh,triple_label_from_single_endpoint_delta,4,0.9379340277777778,0.9383913829824008,0.25,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,zh,endpoint_position_from_endpoint_delta,6,0.3576388888888889,0.3608410592522164,0.1666666666666666,13824,2304
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,zh,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5668402777777778,0.5507525906938214,0.5,13824,2304
xlm-roberta-base,ar,triple_label_from_single_endpoint_delta,4,0.4704861111111111,0.3959516660797802,0.25,13824,2304
xlm-roberta-base,ar,endpoint_position_from_endpoint_delta,6,0.1328125,0.1232224091975973,0.1666666666666666,13824,2304
xlm-roberta-base,ar,cyclic_vs_anticyclic_from_endpoint_delta,1,0.4691840277777778,0.4685592233375926,0.5,13824,2304
xlm-roberta-base,de,triple_label_from_single_endpoint_delta,4,0.7825520833333334,0.7751096235809487,0.25,13824,2304
xlm-roberta-base,de,endpoint_position_from_endpoint_delta,6,0.2903645833333333,0.2209530970858407,0.1666666666666666,13824,2304
xlm-roberta-base,de,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5143229166666666,0.4857601384403559,0.5,13824,2304
xlm-roberta-base,en,triple_label_from_single_endpoint_delta,4,0.9505208333333334,0.9503954328208252,0.25,13824,2304
xlm-roberta-base,en,endpoint_position_from_endpoint_delta,6,0.2951388888888889,0.2547310255383913,0.1666666666666666,13824,2304
xlm-roberta-base,en,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5342881944444444,0.4405751129115509,0.5,13824,2304
xlm-roberta-base,es,triple_label_from_single_endpoint_delta,4,0.7035590277777778,0.6936030278149913,0.25,13824,2304
xlm-roberta-base,es,endpoint_position_from_endpoint_delta,6,0.2647569444444444,0.2570877257708624,0.1666666666666666,13824,2304
xlm-roberta-base,es,cyclic_vs_anticyclic_from_endpoint_delta,1,0.546875,0.5340668808784594,0.5,13824,2304
xlm-roberta-base,fr,triple_label_from_single_endpoint_delta,4,0.6848958333333334,0.6571132898091955,0.25,13824,2304
xlm-roberta-base,fr,endpoint_position_from_endpoint_delta,6,0.2269965277777778,0.1984899724260496,0.1666666666666666,13824,2304
xlm-roberta-base,fr,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5104166666666666,0.3833111074199749,0.5,13824,2304
xlm-roberta-base,ru,triple_label_from_single_endpoint_delta,4,0.4279513888888889,0.4010487422440675,0.25,13824,2304
xlm-roberta-base,ru,endpoint_position_from_endpoint_delta,6,0.2083333333333333,0.1434139744393171,0.1666666666666666,13824,2304
xlm-roberta-base,ru,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5017361111111112,0.3808672659671187,0.5,13824,2304
xlm-roberta-base,zh,triple_label_from_single_endpoint_delta,4,0.7313368055555556,0.7238568558681935,0.25,13824,2304
xlm-roberta-base,zh,endpoint_position_from_endpoint_delta,6,0.1740451388888889,0.0805186537258285,0.1666666666666666,13824,2304
xlm-roberta-base,zh,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5026041666666666,0.3457970600827743,0.5,13824,2304
