model,language,operator,centroid_norm,n
xlm-roberta-base,es,T,0.364685595035553,160
xlm-roberta-base,fr,N,0.6332085728645325,160
xlm-roberta-base,fr,Q,0.7226444482803345,160
xlm-roberta-base,fr,M,0.3334526121616363,160
xlm-roberta-base,fr,T,0.3546753823757171,160
xlm-roberta-base,ru,N,0.3658208549022674,160
xlm-roberta-base,ru,Q,0.593899130821228,160
xlm-roberta-base,ru,M,0.5939078330993652,160
xlm-roberta-base,ru,T,0.3967447876930237,160
xlm-roberta-base,zh,N,0.3669090867042541,160
xlm-roberta-base,zh,Q,0.6972606182098389,160
xlm-roberta-base,zh,M,0.3472680151462555,160
xlm-roberta-base,zh,T,0.4084340333938598,160
