gain_sweep,layer,source_set,prompt_style,control,target_marker_rate,question_mark_rate,mean_content_preservation,target_and_preserved_rate,other_marker_rate,rows
1.0,0,in_template_test,copy_sentence,negative_target,0.125,0.0,0.6333333333333333,0.0,0.125,40
1.0,0,in_template_test,copy_sentence,none,0.05,0.0,0.825,0.0,0.05,40
1.0,0,in_template_test,copy_sentence,random_norm,0.125,0.0,0.525,0.0,0.125,40
1.0,0,in_template_test,copy_sentence,target,0.15,0.15,0.0,0.0,0.0,40
1.0,0,in_template_test,copy_sentence,wrong_class,0.05,0.0,0.85,0.0,0.05,40
1.0,0,in_template_test,repeat_sentence,negative_target,0.175,0.0,0.85,0.025,0.175,40
1.0,0,in_template_test,repeat_sentence,none,0.125,0.0,0.9166666666666666,0.0,0.125,40
1.0,0,in_template_test,repeat_sentence,random_norm,0.125,0.0,0.9,0.0,0.15,40
1.0,0,in_template_test,repeat_sentence,target,0.65,0.65,0.525,0.45,0.05,40
1.0,0,in_template_test,repeat_sentence,wrong_class,0.1,0.0,0.9166666666666666,0.0,0.1,40
1.0,0,in_template_test,same_sentence,negative_target,0.025,0.0,0.9416666666666667,0.0,0.025,40
1.0,0,in_template_test,same_sentence,none,0.0,0.0,1.0,0.0,0.0,40
1.0,0,in_template_test,same_sentence,random_norm,0.0,0.0,0.9666666666666666,0.0,0.0,40
1.0,0,in_template_test,same_sentence,target,1.0,1.0,0.125,0.125,0.0,40
1.0,0,in_template_test,same_sentence,wrong_class,0.0,0.0,1.0,0.0,0.0,40
1.0,0,out_of_template_freeform,copy_sentence,negative_target,0.075,0.0,0.525,0.0,0.075,40
1.0,0,out_of_template_freeform,copy_sentence,none,0.175,0.0,0.75,0.025,0.175,40
1.0,0,out_of_template_freeform,copy_sentence,random_norm,0.175,0.0,0.4416666666666667,0.025,0.175,40
1.0,0,out_of_template_freeform,copy_sentence,target,0.075,0.075,0.0,0.0,0.0,40
1.0,0,out_of_template_freeform,copy_sentence,wrong_class,0.175,0.0,0.75,0.025,0.175,40
1.0,0,out_of_template_freeform,repeat_sentence,negative_target,0.175,0.0,0.8666666666666666,0.025,0.175,40
1.0,0,out_of_template_freeform,repeat_sentence,none,0.075,0.0,0.9166666666666666,0.0,0.1,40
1.0,0,out_of_template_freeform,repeat_sentence,random_norm,0.15,0.0,0.9,0.0,0.15,40
1.0,0,out_of_template_freeform,repeat_sentence,target,0.275,0.275,0.24166666666666664,0.225,0.025,40
1.0,0,out_of_template_freeform,repeat_sentence,wrong_class,0.1,0.0,0.9083333333333334,0.0,0.125,40
1.0,0,out_of_template_freeform,same_sentence,negative_target,0.125,0.0,0.9166666666666666,0.0,0.125,40
1.0,0,out_of_template_freeform,same_sentence,none,0.0,0.0,1.0,0.0,0.0,40
1.0,0,out_of_template_freeform,same_sentence,random_norm,0.05,0.0,0.9416666666666667,0.0,0.05,40
1.0,0,out_of_template_freeform,same_sentence,target,0.725,0.725,0.35833333333333334,0.35,0.025,40
1.0,0,out_of_template_freeform,same_sentence,wrong_class,0.0,0.0,1.0,0.0,0.0,40
1.0,1,in_template_test,copy_sentence,negative_target,0.225,0.0,0.725,0.05,0.225,40
1.0,1,in_template_test,copy_sentence,none,0.05,0.0,0.825,0.0,0.05,40
1.0,1,in_template_test,copy_sentence,random_norm,0.1,0.0,0.6166666666666667,0.0,0.1,40
1.0,1,in_template_test,copy_sentence,target,0.0,0.0,0.0,0.0,0.0,40
1.0,1,in_template_test,copy_sentence,wrong_class,0.1,0.0,0.8,0.0,0.1,40
