model,template_id,triple,a,b,c,jacobi_norm,relative_jacobi_norm,null_mean_relative_jacobi_norm,null_std_relative_jacobi_norm,jacobi_to_null_mean_ratio,null_percentile_smaller_is_better
bert-base-uncased,72,NMT,N,M,T,5.475925445556641,0.3267465829849243,0.4048360189795494,0.1234812260265078,0.8071084776688882,0.292
bert-base-uncased,72,QMT,Q,M,T,4.931710243225098,0.2492002546787262,0.36071826735138895,0.08091020064713589,0.6908445655048576,0.097
bert-base-uncased,73,NQM,N,Q,M,4.846963882446289,0.2664355933666229,0.3114641463756561,0.07105090239912361,0.8554294176910502,0.303
bert-base-uncased,73,NQT,N,Q,T,6.068814277648926,0.3342912197113037,0.32632835491001605,0.0608509035288959,1.0244013879898946,0.612
bert-base-uncased,73,NMT,N,M,T,5.387343883514404,0.3322407901287079,0.43268650364875794,0.13860445190620602,0.7678556814835233,0.306
bert-base-uncased,73,QMT,Q,M,T,5.324738502502441,0.2967695891857147,0.4150783863961697,0.08157719406045344,0.7149723977719943,0.093
bert-base-uncased,74,NQM,N,Q,M,4.963951587677002,0.25887182354927063,0.303840088263154,0.07902297053396433,0.8520002249479712,0.407
bert-base-uncased,74,NQT,N,Q,T,7.056711673736572,0.37256091833114624,0.3333598869740963,0.07960373162560228,1.1175937264430933,0.79
bert-base-uncased,74,NMT,N,M,T,5.573016166687012,0.3167383372783661,0.40545139104127886,0.13408158919983548,0.7811992862181052,0.412
bert-base-uncased,74,QMT,Q,M,T,5.43291711807251,0.2877359092235565,0.39304256516695024,0.07848011450195634,0.7320731511626601,0.103
bert-base-uncased,75,NQM,N,Q,M,5.408308029174805,0.25885894894599915,0.29315594226121905,0.06371700530947748,0.8830076816742733,0.428
bert-base-uncased,75,NQT,N,Q,T,7.024730205535889,0.3500286340713501,0.3156948213726282,0.07511972180880962,1.1087563379986125,0.694
bert-base-uncased,75,NMT,N,M,T,5.533244609832764,0.28309863805770874,0.3711874154061079,0.1265236204733087,0.762683825762827,0.33
bert-base-uncased,75,QMT,Q,M,T,5.241138935089111,0.25551027059555054,0.3722768194079399,0.07871947672220811,0.6863448307128593,0.103
bert-base-uncased,76,NQM,N,Q,M,5.356131553649902,0.26377034187316895,0.29540675023198126,0.06904241924519038,0.8929056010573174,0.389
bert-base-uncased,76,NQT,N,Q,T,6.9207634925842285,0.34988048672676086,0.31778654688596725,0.07187512203789605,1.1009921286919961,0.8
bert-base-uncased,76,NMT,N,M,T,5.227154731750488,0.28146597743034363,0.37020351612567903,0.12065807507327636,0.7603006594189924,0.297
