model,language,comparison,mean_cosine,centroid_cosine,mean_norm_pos,mean_norm_neg,norm_ratio_pos_over_neg
distilbert-base-multilingual-cased,fr,neutral_to_love_vs_neutral_to_hate,0.7259280681610107,0.7284906506538391,3.6591579914093018,3.687802791595459,0.9922325611114502
distilbert-base-multilingual-cased,ru,neutral_to_love_vs_neutral_to_hate,0.5998226404190063,0.5971709489822388,2.4352669715881348,2.4482293128967285,0.9947054386138916
distilbert-base-multilingual-cased,zh,neutral_to_love_vs_neutral_to_hate,0.5864480137825012,0.5590094923973083,2.523234367370605,2.3759799003601074,1.0619763135910034
intfloat/multilingual-e5-large,ar,neutral_to_love_vs_neutral_to_hate,0.7406762838363647,0.7399441003799438,5.719605922698975,5.366917610168457,1.065715193748474
intfloat/multilingual-e5-large,de,neutral_to_love_vs_neutral_to_hate,0.4765357077121734,0.4504385888576507,9.389323234558104,9.221105575561523,1.0182427167892456
intfloat/multilingual-e5-large,en,neutral_to_love_vs_neutral_to_hate,0.4286131858825683,0.4274211227893829,13.27820873260498,9.188562393188477,1.4450801610946655
intfloat/multilingual-e5-large,es,neutral_to_love_vs_neutral_to_hate,0.5686930418014526,0.5537077784538269,10.780078887939451,9.03769874572754,1.1927902698516846
intfloat/multilingual-e5-large,fr,neutral_to_love_vs_neutral_to_hate,0.5364844799041748,0.5250546932220459,9.965948104858398,8.04374885559082,1.2389681339263916
intfloat/multilingual-e5-large,ru,neutral_to_love_vs_neutral_to_hate,0.3824636936187744,0.3539943993091583,7.174017429351807,8.571200370788574,0.836991012096405
intfloat/multilingual-e5-large,zh,neutral_to_love_vs_neutral_to_hate,0.6840051412582397,0.6920984983444214,5.942422866821289,6.353161811828613,0.9353488683700562
sentence-transformers/LaBSE,ar,neutral_to_love_vs_neutral_to_hate,0.6917722821235657,0.7039788365364075,4.55153751373291,4.566638946533203,0.9966930747032166
sentence-transformers/LaBSE,de,neutral_to_love_vs_neutral_to_hate,0.8541841506958008,0.8741393685340881,13.061162948608398,9.2369384765625,1.4140143394470217
sentence-transformers/LaBSE,en,neutral_to_love_vs_neutral_to_hate,0.7512843012809753,0.7447460293769836,10.435245513916016,9.036104202270508,1.154839038848877
sentence-transformers/LaBSE,es,neutral_to_love_vs_neutral_to_hate,0.7083271741867065,0.7097614407539368,8.280119895935059,7.42115306854248,1.1157457828521729
sentence-transformers/LaBSE,fr,neutral_to_love_vs_neutral_to_hate,0.7671771049499512,0.771574079990387,9.314595222473145,8.182701110839844,1.138327717781067
sentence-transformers/LaBSE,ru,neutral_to_love_vs_neutral_to_hate,0.4501399397850036,0.422736793756485,5.859143257141113,5.892656803131104,0.9943126440048218
sentence-transformers/LaBSE,zh,neutral_to_love_vs_neutral_to_hate,0.4637661874294281,0.4711954593658447,5.568389892578125,5.474977016448975,1.0170618295669556
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,neutral_to_love_vs_neutral_to_hate,0.7802228331565857,0.7827789187431335,0.7293902635574341,0.713078498840332,1.022875189781189
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,de,neutral_to_love_vs_neutral_to_hate,-0.0676751807332038,-0.1653976440429687,1.7001644372940063,1.9831784963607788,0.8572927117347717
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,neutral_to_love_vs_neutral_to_hate,0.3300244808197021,0.3635831773281097,3.2317938804626465,2.912216901779175,1.109736680984497
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,es,neutral_to_love_vs_neutral_to_hate,0.2199087888002395,0.2285044342279434,2.537479877471924,2.311965227127075,1.097542405128479
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,fr,neutral_to_love_vs_neutral_to_hate,0.3146924376487732,0.3169293403625488,2.5225157737731934,2.16579008102417,1.164709210395813
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ru,neutral_to_love_vs_neutral_to_hate,0.5836498141288757,0.5809247493743896,1.098120927810669,1.0713125467300415,1.0250238180160522
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,zh,neutral_to_love_vs_neutral_to_hate,0.3904999792575836,0.3803458511829376,0.9913089871406556,0.9691845178604126,1.0228278636932373
xlm-roberta-base,ar,neutral_to_love_vs_neutral_to_hate,0.6253445744514465,0.6365211606025696,0.7751070261001587,0.7739262580871582,1.001525640487671
xlm-roberta-base,de,neutral_to_love_vs_neutral_to_hate,0.8757381439208984,0.8898813128471375,1.038079857826233,1.1398000717163086,0.9107561111450196
xlm-roberta-base,en,neutral_to_love_vs_neutral_to_hate,0.8992697596549988,0.9193676710128784,0.9378100633621216,1.0114952325820925,0.9271522164344788
xlm-roberta-base,es,neutral_to_love_vs_neutral_to_hate,0.8190282583236694,0.8741298317909241,1.0481518507003784,0.9280892610549928,1.12936532497406
xlm-roberta-base,fr,neutral_to_love_vs_neutral_to_hate,0.787142276763916,0.8412655591964722,0.9648408889770508,1.2499444484710691,0.7719070315361023
xlm-roberta-base,ru,neutral_to_love_vs_neutral_to_hate,0.7030348777770996,0.6776689291000366,0.7881357073783875,0.6814735531806946,1.1565169095993042
xlm-roberta-base,zh,neutral_to_love_vs_neutral_to_hate,0.7629836201667786,0.7816842198371887,0.7927771210670471,0.8438283801078796,0.9395004510879515
