model,heldout_language,method,triple,basis_rank,relative_jacobi_operator_norm,jacobi_coeff_norm,jacobi_coef_N,jacobi_coef_Q,jacobi_coef_M,jacobi_coef_T
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ru,linear,NMT,4,0.05274668634873947,0.016414005178416586,-0.008091051947971994,0.01066668831877051,0.005422034227844978,-0.007796008563013981
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ru,linear,QMT,4,0.06487282132389592,0.018244523844960565,0.001479489470464836,-0.005476147365282215,0.013885037606670453,-0.010387073790590798
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ru,affine,NQM,4,0.10665784917777328,0.045733826666439804,0.0030215245502961674,0.024537297430308497,0.009753754922968594,-0.03721879351439485
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ru,affine,NQT,4,0.14156084882286205,0.06374287611928643,0.0020730627989696687,0.04433172363211511,-0.0005646515476004487,-0.04575189739263044
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ru,affine,NMT,4,0.05865896713128296,0.02171165581095662,-0.003452103646606572,0.010106234520052874,-0.016372285497529372,0.009449405795054685
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ru,affine,QMT,4,0.0679439751152063,0.020467931632287325,-0.0024397759590167305,0.00023894454315898095,-0.013453183195270344,0.015229526781669292
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,zh,linear,NQM,4,0.09391180348411754,0.02815106515165746,-0.006406835566042244,0.024336851159463897,-0.007956903395259451,-0.009789805473203675
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,zh,linear,NQT,4,0.11861308081948256,0.04571549798278856,-0.010137807169506172,0.03883548326688746,-0.00763967192223718,-0.02050785883402114
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,zh,linear,NMT,4,0.04399268266873881,0.014123195026451154,-0.005187743063656429,0.0058034921291294506,0.008155030839843713,-0.008506874324273852
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,zh,linear,QMT,4,0.04555058680805849,0.01077638982688207,0.0012931419670751954,-0.005940017612129193,0.008072065711030963,-0.0037438359310083894
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,zh,affine,NQM,4,0.07498360725585552,0.028723487715145497,0.00667738317217921,0.015445159054140439,0.0011199687704404881,-0.023251753315385783
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,zh,affine,NQT,4,0.11817279935415173,0.05277416278259553,0.005152443458623285,0.03733738781144262,-0.006124129765692137,-0.03642772419244003
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,zh,affine,NMT,4,0.04142780537104532,0.015236205035804936,-0.003566569141860848,0.006935795813962782,-0.01087137944817261,0.007288989900547278
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,zh,affine,QMT,4,0.06970844200152078,0.020196413903652777,-0.0012305102073403773,-0.0033235937529160695,-0.011783052809811397,0.01601544161876479
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,linear,NQM,4,0.07868368497977395,0.030835113821866243,-0.00031935411484461385,0.018109305782421037,0.006653318533897688,-0.024051791075137084
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,linear,NQT,4,0.11598054117397597,0.05207301979323829,-0.004181122292860023,0.03611810042959093,0.005650236929416009,-0.036846645040743975
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,linear,NMT,4,0.03350701716871828,0.008847555172157847,-0.005287756369548868,0.006978229997895529,-0.0006413154125158652,-0.0011008568203054458
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,linear,QMT,4,0.027086870700925556,0.005325955520870592,0.0009747280407720769,-0.003993361860352464,0.0033015035373969853,-0.0007542167471370972
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,affine,NQM,4,0.08952556880668906,0.037530028494181425,0.007308357839147253,0.012311520811044016,0.01280533396495001,-0.03224191095196394
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,affine,NQT,4,0.11295743417603536,0.049870867593676066,0.003403334467326366,0.03362155469284517,-0.00015811310485887645,-0.03667542514179721
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,affine,NMT,4,0.07022740202665384,0.025757478354290386,-0.0041267934515243215,0.008233453628018379,-0.019080136949712886,0.01464840886634674
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ar,affine,QMT,4,0.07043491118691492,0.018129240159419725,-0.0019196761678514423,0.0014745361631896409,-0.012661188770815186,0.012747714861171378
